,TSs156A,TSs361,TSs368,TSs49,TSs138B,TSs22B,TSs287,TSs383,TSs314A,TSs30,TSs291,TSs157A,TSs27,TSs363,TSs9,TSs151B,TSs133,TSs155,TSs209,TSs136,TSs22A,TSs357,TSs161,TSs11,TSs5A,TSs131,TSs294,TSs378,TSs336,TSs111,TSs56,TSs3A,TSs95,TSs2,TSs44C,TSs201,TSs217,TSs168,TSs98,TSs116,TSs53,TSs63A,TSs158,TSs269,TSs317,TSs49A,TSs417,TSs195,TSs371,TSs23,TSs51,TSs59B,TSs365,TSs224,TSs325,TSs119A,TSs166,TSs297,TSs338,TSs293,TSs24,TSs334,TSs1A,TSs266,TSs277,TSs60B,TSs303,TSs120,TSs132,TSs78,TSs61,TSs60,TSs274,TSs10A,TSs96,TSs282,TSs56A,TSs296,TSs33,TSs311,TSs68,TSs104,TSs58,TSs358,TSs82,TSs15,TSs3,TSs4,TSs331,TSs314B,TSs333,TSs7,TSs38,TSs10,TSs48
TSs156A,0.0,0.24703592322814835,0.3232588688522159,0.3455877093882807,0.2591410361099008,0.30373026381716706,0.312329577104993,0.32261163658956654,0.3141350159069553,0.31629272937689024,0.34890473314374093,0.378532660471483,0.29994906068661314,0.2408756733577342,0.30944787451218303,0.24695303848734312,0.27116592217374985,0.29380902219054905,0.33249268012447053,0.3189437194749847,0.3389574793553192,0.24828094383435345,0.3141669930181837,0.31512234905844366,0.2868266825295811,0.3094043431951895,0.30648852938111104,0.3088198759470202,0.3233378110298451,0.25666931971263635,0.34184493859330495,0.3235299203329548,0.33795521951703056,0.31546543119418846,0.2927060369530981,0.31464875666913994,0.37869544402328414,0.35330608948567077,0.33966318447031074,0.3678842717860493,0.3157979169553609,0.3068667085759908,0.29610396850725434,0.32764092069825973,0.33197363309693484,0.3041515373975845,0.3215680748290995,0.30060097461729357,0.3455930879900034,0.287344049555494,0.3249148219934047,0.3039584178269085,0.3104313641448607,0.2828228852577064,0.3282185553964536,0.3000758806423967,0.3806617855700718,0.3561514095938609,0.3081287566852376,0.331522551104076,0.366551399206497,0.3226943782627182,0.29516715562405393,0.3096779374703561,0.30500667239363943,0.29670048872987104,0.36457810807202556,0.30802868108304116,0.32438756891181164,0.3527127851183572,0.312487874340427,0.31586561692618875,0.31547889289210357,0.332934127406559,0.32869855747045057,0.3584705678787651,0.3167184414166827,0.3249288990731728,0.30893223597154823,0.32565774088730637,0.3136149806245041,0.3059450822556965,0.3249436901811599,0.24642278107836532,0.3143498957388243,0.312569287287837,0.3314832784930312,0.2875307892022871,0.33092522343816705,0.3101378214486211,0.310533801004648,0.28684660226343883,0.38504835979569113,0.30778003686226835,0.34220035963968987
TSs361,0.24703592322814835,0.0,0.33387116251594934,0.3567691981880904,0.241754270575668,0.3094122201563603,0.3227218432347257,0.33288653400389406,0.32395604591875693,0.32853936231494935,0.35840940599900867,0.3831218134102739,0.30889708591476134,0.25429854834702764,0.3114397555035705,0.037946725752502936,0.26622974653824455,0.27968807064989926,0.34050468709851217,0.33259597696018683,0.343158469645126,0.18488779379627265,0.33431634757180584,0.33040895818325805,0.2902981036293921,0.31890859631830404,0.3118860652958899,0.3245098226919039,0.3296865994553538,0.25936801028724665,0.35853859666737653,0.33711872045058683,0.3485055183891994,0.32886484284303874,0.3079910918836542,0.32591079704172166,0.3822392612447793,0.3520835956644144,0.3470924769006877,0.38042446627113746,0.32801724429481843,0.31318302891709376,0.3099629143340801,0.331117820511578,0.34718041953415657,0.3275300336910521,0.3285484343515519,0.29343912474562867,0.3550609434724845,0.29506369959929446,0.3307179114411649,0.31212756837078903,0.2963019277371688,0.27531202020084644,0.33146204416542735,0.2991913891696052,0.3879532924119194,0.36659597405090233,0.31332753586135004,0.34308297991152154,0.37939364054102687,0.33179109145228786,0.3154208190963578,0.3223777000213758,0.3189914560367167,0.31054872750697593,0.37740959252337475,0.3223129549696705,0.3245736918990394,0.3712803334941512,0.31258856079002034,0.33478710083151575,0.31804175203017765,0.34565165135415293,0.34178974511809623,0.3692396002771201,0.3248941620544498,0.33335237859831274,0.3249461983913977,0.3411083811180664,0.31671806415865994,0.31285102408561666,0.33081228155518067,0.029370320052624247,0.32968270950370543,0.322007102341242,0.3403460976782075,0.2992185387885961,0.3394424870449954,0.32039999497003363,0.3261921444250429,0.28936623163363645,0.39002423498630756,0.3199108173828176,0.34832442777257694
TSs368,0.3232588688522159,0.33387116251594934,0.0,0.2750698508949859,0.29212077064186015,0.24620645725957876,0.23025243686081082,0.2630671103125623,0.25100940530421584,0.23615961270982241,0.2957418902971778,0.2851217765639946,0.261280297123937,0.3210856431176357,0.19887819068918772,0.33334876617450615,0.32275815051901485,0.3220336544592956,0.27383765514410296,0.23665909812036906,0.27499570786021027,0.2738833670829119,0.2599501166009105,0.24814216460271843,0.26530653965281464,0.24353860324454182,0.25443470931915063,0.24128665998164378,0.2532756192590263,0.27654761001663425,0.2512765748612922,0.24447746474722526,0.27469998090291775,0.26481063640256824,0.2543519400312178,0.24227388770045954,0.32004547618979323,0.30614896319987583,0.25676462329922894,0.3290824137396111,0.21572922209652082,0.23713027902562175,0.2588125242458604,0.28520854628791426,0.24479190534631026,0.27330715983858755,0.258546231545064,0.2727313957403588,0.2775150196813174,0.23435839739517314,0.23468473123942912,0.22309018528216512,0.32889906579325967,0.25400986235506223,0.2514387948481735,0.253321516812023,0.3138120656275776,0.31847672448640735,0.2505779454523644,0.26502648219761216,0.28657649749229924,0.24218487950259215,0.2522209043980784,0.23135358995994013,0.27940574117595424,0.22803508501982758,0.26334995640533165,0.2539163860606932,0.25827040507704074,0.3078969548768059,0.2555578198560198,0.2069319052394089,0.26646757353014056,0.22797897027906622,0.25352285566806204,0.25546336302764466,0.2561223740037897,0.25329050739175824,0.24983652913198393,0.2544552189890064,0.24119216868173307,0.23551171568994073,0.24774656823341942,0.33274443288842276,0.24760390204456048,0.22955459802639389,0.22794536636487125,0.2237974289430472,0.25606767180439916,0.23480379335769808,0.24305744810007998,0.24682600536223268,0.33782039721515605,0.2776056322726953,0.28440029955235274
TSs49,0.3455877093882807,0.3567691981880904,0.2750698508949859,0.0,0.324171275389542,0.23572156139784145,0.2655224438762726,0.29017913834695824,0.25655609116196415,0.2779845908657832,0.3150030725557756,0.3346634748523882,0.28323250801492084,0.35064998590775387,0.27449605326187193,0.35498257788659165,0.3440055553426298,0.3503231093549913,0.2911788533767055,0.2880849974311414,0.22556011739834236,0.3017708751299634,0.27159255102389507,0.2559753873454871,0.28079430731463706,0.2827805705848556,0.2742138343143926,0.24374444473149384,0.2725630514496977,0.31139950416130474,0.30330796878180377,0.2682735610353298,0.29034261403473477,0.2658091287320231,0.2779825715555497,0.2618071335858355,0.33957945270653117,0.3253161812742599,0.28046380992510417,0.336220788891125,0.28218147376055724,0.26028609824080473,0.2816502699428036,0.23416003361118962,0.2485508766809788,0.2960470208101389,0.28175480457636154,0.2796505298319897,0.2981837294025085,0.26131360033710593,0.2579605020154878,0.24231439429128912,0.35060204683552676,0.2694811161993067,0.2792542256286942,0.2727395611722039,0.33202524355481255,0.29866457850806666,0.27705643116704126,0.23945859909911602,0.309461872914408,0.2716105754412401,0.25032742265190977,0.27748768114596867,0.3047918803494927,0.25948070026236786,0.3142714155431474,0.2678164830471788,0.26791476861596253,0.32624908081642534,0.2826190726711909,0.2864371188267914,0.2858572551108174,0.28305850799734833,0.27021075353532714,0.34538136034490274,0.28626455492093367,0.25544579052067073,0.25748303851980364,0.2929607717546989,0.2697622843841993,0.26412527126996443,0.2873867095717413,0.35633256715919803,0.2662300156882916,0.27243446813190203,0.2753473902421759,0.27555563274341466,0.28696706521594834,0.27706627104915055,0.25239637036447793,0.24769346783051094,0.35252388840963755,0.30413912107232915,0.31513850264154447
TSs138B,0.2591410361099008,0.241754270575668,0.29212077064186015,0.324171275389542,0.0,0.28095745461038674,0.27313543427518333,0.2809949380058254,0.28881414690240187,0.27984344806917194,0.3140121230184852,0.34749370838484045,0.28083017367391067,0.25610413771345003,0.28100147114692725,0.2416695744079524,0.2534419469133144,0.26605906428334125,0.3015718073960707,0.29618138939800703,0.3137078050837403,0.2238473032496189,0.296246535198909,0.2865387123579048,0.2586805324801293,0.2865290131383973,0.2760893608204572,0.27934995075912084,0.28156826828922243,0.2484465193149745,0.31069522954656986,0.2967624625393571,0.31295457962785117,0.3029440289092092,0.27005223539519524,0.28544310342019247,0.3377861963644375,0.3224886524993527,0.30106976810480934,0.34362410772870455,0.2875961347979957,0.2722180188821261,0.26571323977364497,0.30805444737141485,0.3061329926325038,0.276988361821627,0.29723931395485226,0.24852802229902862,0.3145116878187902,0.24791682124028513,0.287335580904336,0.27155022291113823,0.26544688307986475,0.23104883215232103,0.28768764245543843,0.25664748389777214,0.34974777146240643,0.3392989718473494,0.2770434207943089,0.3112719254853097,0.33684912767721514,0.28660409392387526,0.27995651712384845,0.28240895219047657,0.29848605334115874,0.27825802743913713,0.3350093538752206,0.27866508499751297,0.2892959795499003,0.3303222454468129,0.2790547174716709,0.29683536651813597,0.28139440651086745,0.3045802127164616,0.298819768185573,0.3406605022952185,0.2905318158035048,0.2958926763482533,0.2854942972508946,0.2955359855826383,0.29327606819352253,0.2742279897625904,0.2846068620743669,0.24112769855573551,0.2903917853613143,0.27785174708278554,0.2988082928024056,0.2656873013765636,0.3063695702705878,0.29572223555201105,0.28625648223353173,0.254279961981059,0.3592528760528185,0.2740408621366839,0.29879155702732096
TSs22B,0.30373026381716706,0.3094122201563603,0.24620645725957876,0.23572156139784145,0.28095745461038674,0.0,0.24046073935534878,0.27737100406351445,0.2338808761408507,0.2500332070929549,0.2932030581469083,0.32007056500940967,0.25218225273212747,0.3110867650885681,0.22482685243486059,0.30935930516272375,0.30484214275651317,0.30923126627288106,0.2876619381627804,0.25300150929208826,0.2248287153491369,0.26574820899518264,0.2549930782417089,0.2496462901717884,0.24574335181949214,0.2552634719214333,0.2511211094182014,0.24351173308597052,0.25801113196319464,0.27682966195963676,0.26804751583726283,0.2576564580318987,0.29344352209107594,0.21576642888685826,0.25375076762618887,0.25125199808763327,0.3164788733496698,0.3034408874990606,0.27964709207863314,0.3191957593491428,0.22719651257055257,0.2371349915379369,0.2581848355997833,0.2548748184343662,0.25130873668612147,0.2670476047736583,0.26121447933010417,0.2552104515812373,0.29978388537322986,0.24171675131224332,0.2511556450845795,0.19852285986762097,0.31880643310994555,0.24746076344062745,0.26821940879358225,0.24012865070015443,0.3395664567958339,0.29943023868110324,0.24868100254895942,0.2590880282501767,0.3024769716747775,0.25703525454316856,0.2099503704637152,0.24929251677936826,0.28142003122891096,0.22257739444829008,0.3093719279161067,0.2616225902842835,0.26416426744832455,0.31248746583113013,0.26530917313092117,0.23357626607575355,0.27611224520969413,0.2525901260323148,0.2601828595362824,0.261610241356184,0.26063213649600164,0.22188007849009164,0.2341621180018301,0.26823073921200385,0.2075213805196532,0.23535245687428924,0.27004918365399616,0.30942206930760263,0.2567592489161882,0.2522312934174988,0.2432942544716434,0.2332278210037103,0.27879502804306977,0.22408029684248418,0.24400962382535182,0.2155545718431104,0.34285131873049257,0.2860694476033893,0.2989747786946406
TSs287,0.312329577104993,0.3227218432347257,0.23025243686081082,0.2655224438762726,0.27313543427518333,0.24046073935534878,0.0,0.23470335967229622,0.22635034483159172,0.2337385317010202,0.24358641244168777,0.2820483952490193,0.2453175528658986,0.31751828374967084,0.23269029325829502,0.3228071780839364,0.31242796070297385,0.3012773027144669,0.2449509963528212,0.22875208510741613,0.2710545277960618,0.2654991937964279,0.2315447418417018,0.23322101773869597,0.25161446505733764,0.2462416054576,0.23462767442521057,0.23960542054218692,0.24638016464367918,0.27053109429150984,0.25691757409139476,0.24340697178000242,0.26920717677667916,0.2597380264039976,0.2459274788371903,0.22557857053020045,0.30274945984562235,0.3041002774039074,0.2361355139271685,0.3189063162567853,0.22398809468830322,0.22908016750011365,0.23899619667959304,0.27492470971559313,0.23464249659986974,0.2605562921800433,0.24560919565039493,0.2613841537390949,0.26339965768207485,0.22933061528986,0.22552680223533414,0.22143895020322776,0.31163358892184373,0.2326507960226783,0.23134325906992584,0.23675458872766592,0.28867505158979184,0.3127792799228671,0.24486595839625386,0.25997163443880233,0.28137567957401155,0.22232786738386054,0.24353006883782352,0.22235115051377985,0.27222533400231425,0.22654773666499953,0.2832706034190098,0.22852339051626774,0.23953570726973833,0.28223596376827,0.24810633446301356,0.24407040915954042,0.25045596432624717,0.2507873935949731,0.23486141261874866,0.29526663395383485,0.2424225676366063,0.2534975603222783,0.23856872891760705,0.23448994895034125,0.24595789601566526,0.22359696006484756,0.23655669670035917,0.3222108331796795,0.22828081773121162,0.2300136101180218,0.2368674895895327,0.2238760770350996,0.2604991041382945,0.2277508598644886,0.22056879489740203,0.2264199149763042,0.3236589966745692,0.27706878194064977,0.27262091382479325
TSs383,0.32261163658956654,0.33288653400389406,0.2630671103125623,0.29017913834695824,0.2809949380058254,0.27737100406351445,0.23470335967229622,0.0,0.2591696928582108,0.24634068827519173,0.256439142226995,0.3119581835330852,0.25603159810744525,0.32607921999294537,0.26542258184320794,0.33275022958223954,0.3157869555031273,0.30743462455714415,0.2543175155655741,0.2645570308248169,0.28813687522961384,0.2729105572474888,0.2487792543997918,0.24238796174321905,0.2632297448283084,0.26272141313770736,0.24751620589476656,0.25316892672769276,0.2666476366311703,0.28592732782719676,0.26898792041899766,0.26608278638245814,0.2860054296001361,0.2853835017268342,0.23812658690041585,0.23845302431828813,0.29175534535429604,0.328082823173041,0.2562219063484579,0.3347804896409083,0.2615236377533031,0.24349658343268174,0.24399620209899767,0.29578365551682845,0.2679152716073271,0.26443735529182477,0.25826666390284436,0.2819951950493298,0.2600945072902741,0.2469127732399156,0.2522819911432576,0.2525636805395713,0.3028519713174321,0.24537591459887656,0.253094799939988,0.25813932340147056,0.3145870238605749,0.31660967776875576,0.2590489549216856,0.27582964399711707,0.296480833428012,0.25494573150264205,0.26822054149811264,0.2501343768514792,0.2818103731084327,0.25266354634002364,0.2992197788391143,0.24784130343036812,0.2505621791648861,0.24608280169467933,0.2515803909792226,0.27693471825294874,0.25340720610927436,0.27933996398416644,0.26311796776924407,0.3343417716496243,0.2534638630898528,0.27516127022475334,0.25536719434361793,0.22424559588651144,0.27205243958199465,0.24763134709598134,0.250724987538715,0.33236065344417853,0.24349658343268174,0.2345471546916497,0.2714980510669572,0.23016692113662646,0.2665054183533536,0.26876189297419234,0.2459083171686869,0.24148924261525476,0.3248556679359215,0.2881984096296563,0.29011376475801226
TSs314A,0.3141350159069553,0.32395604591875693,0.25100940530421584,0.25655609116196415,0.28881414690240187,0.2338808761408507,0.22635034483159172,0.2591696928582108,0.0,0.24294598494836578,0.28050086228032745,0.3088921729772561,0.24782154520509891,0.32381381233733836,0.2482643336444123,0.3229360560736541,0.3198911300350796,0.31690267212010836,0.2694657977056276,0.2600550612653158,0.25079679138063493,0.26770854035924224,0.22954666798690668,0.23610497704535607,0.25116844791102705,0.23795895681644505,0.2432972022668226,0.23023380740037405,0.22319339627021953,0.2736218513600548,0.27817338070313846,0.2446464293574095,0.26578807477881206,0.25636027579255666,0.24808624467103005,0.2350142660991199,0.3100874782362083,0.2966103914270199,0.2486396482433782,0.3152483463067994,0.2296380412874951,0.24275254576266142,0.25481637951513364,0.2621067412935494,0.23956280374004535,0.2707686858647171,0.24612831638111587,0.2690365990063914,0.27950416270983847,0.24725751810061855,0.22989535749407805,0.23172835226506874,0.3109804556519347,0.24140400908935297,0.2523339266747527,0.2382795492047373,0.3001198458565485,0.30512958317176675,0.24827642285254964,0.2542724067095619,0.2663088902361954,0.23961065500302092,0.24590091503025066,0.23340178141690698,0.28262743076677177,0.24100341206733814,0.28368913673512663,0.2432520510779031,0.24872307863099669,0.2877247947992824,0.24777498646485893,0.2578873886104133,0.2556346048754397,0.27083676045231764,0.23915033331053126,0.3154796549661593,0.25300102810392183,0.2558700744394364,0.24672720836254564,0.24884352626521325,0.25660915152537445,0.2269850794125918,0.25007923914058083,0.32353647660657575,0.24084377000698212,0.24021039741492328,0.2468104683090824,0.24623052672476642,0.25862757794417,0.20334950886147998,0.22404136390405074,0.23518803936184426,0.3428167966420002,0.28181890848113234,0.2872668337045132
TSs30,0.31629272937689024,0.32853936231494935,0.23615961270982241,0.2779845908657832,0.27984344806917194,0.2500332070929549,0.2337385317010202,0.24634068827519173,0.24294598494836578,0.0,0.2793732375270299,0.2966950051528815,0.24898114102403868,0.3194285162157358,0.23663819949473214,0.3280800573381058,0.30885062901589744,0.3140634531818756,0.2615424061273056,0.2564739585189884,0.2779146956269387,0.27059937339263335,0.24561974510199494,0.24038449530527048,0.25481003399990865,0.24460794739124664,0.2306294408476716,0.24208856515296034,0.24906059424076282,0.27541819220422126,0.26094440221337484,0.2628289462425051,0.26700623911101895,0.27675343606212477,0.24741753363999125,0.23272013371729916,0.28430112848840355,0.3159553991422184,0.2421730899790731,0.31208934040443986,0.22837822529255536,0.2346892732592302,0.24302052466167903,0.2815552289205751,0.2505421375243161,0.2697700105682262,0.24714177102008802,0.26106278344056916,0.2571548291722959,0.23782191664919697,0.23188652974084828,0.23632241906382134,0.31692098323454243,0.25183139531079796,0.23870354077641623,0.24569166787155672,0.3019007148768421,0.31611380330971056,0.2442080926163269,0.2708787672049417,0.2956946025377345,0.2357514044259006,0.255677203073083,0.23155401186501526,0.29126145604537756,0.2371347742040205,0.2886384593198627,0.23332059046307213,0.2399825949639875,0.2981656039824458,0.2545063253774312,0.24195366740773433,0.2513724047286988,0.25370773601653224,0.25807606184554305,0.28777744211609757,0.2496269674618113,0.26409728109156616,0.24830520809729079,0.2573507752295714,0.2561563116638236,0.22318554277262756,0.23602240420447165,0.3279794283219096,0.23201803945558414,0.23239005505566313,0.2528217074528756,0.2379619352879833,0.2611793325174524,0.2436960089114127,0.2264724206698969,0.2341971087613517,0.2877212794327866,0.28342565521207574,0.28871378033204653
