leaf_index,sample,cluster
0,TSs217,1
1,TSs38,1
2,TSs116,1
3,TSs166,1
4,TSs297,1
5,TSs157A,1
6,TSs365,0
7,TSs155,0
8,TSs133,0
9,TSs156A,0
10,TSs363,0
11,TSs111,0
12,TSs138B,0
13,TSs357,0
14,TSs151B,0
15,TSs361,0
16,TSs358,0
17,TSs168,1
18,TSs48,1
19,TSs24,1
20,TSs303,1
21,TSs10,1
22,TSs277,1
23,TSs269,1
24,TSs95,1
25,TSs98,1
26,TSs371,1
27,TSs209,1
28,TSs293,1
29,TSs136,1
30,TSs56,1
31,TSs44C,1
32,TSs49A,1
33,TSs338,1
34,TSs274,1
35,TSs331,1
36,TSs131,1
37,TSs336,1
38,TSs27,1
39,TSs61,1
40,TSs5A,1
41,TSs119A,1
42,TSs195,1
43,TSs224,1
44,TSs161,1
45,TSs158,1
46,TSs383,1
47,TSs311,1
48,TSs417,1
49,TSs56A,1
50,TSs96,1
51,TSs314A,1
52,TSs314B,1
53,TSs317,1
54,TSs51,1
55,TSs30,1
56,TSs294,1
57,TSs120,1
58,TSs378,1
59,TSs132,1
60,TSs11,1
61,TSs201,1
62,TSs325,1
63,TSs287,1
64,TSs334,1
65,TSs333,1
66,TSs58,1
67,TSs63A,1
68,TSs82,1
69,TSs104,1
70,TSs4,1
71,TSs60B,1
72,TSs7,1
73,TSs266,1
74,TSs23,1
75,TSs15,1
76,TSs10A,1
77,TSs60,1
78,TSs282,1
79,TSs53,1
80,TSs368,1
81,TSs9,1
82,TSs3A,1
83,TSs3,1
84,TSs49,1
85,TSs22A,1
86,TSs33,1
87,TSs296,1
88,TSs2,1
89,TSs1A,1
90,TSs22B,1
91,TSs59B,1
92,TSs68,1
93,TSs291,1
94,TSs78,1
