sample,Antioxidant,rank,rank_within_panel_pct
TSs182,11.8407512316777,bottom_10,0.05
TSs132,20.6792873825816,bottom_10,0.1
TSs291,24.5133308595071,bottom_10,0.15
TSs349,43.5324914336233,bottom_10,0.2
TSs24,97.658671872829,bottom_10,0.25
TSs314B,99.1104707151392,bottom_10,0.3
TSs11,113.392693658727,bottom_10,0.35
TSs136,126.26764368377,bottom_10,0.4
TSs156A,129.392142398117,bottom_10,0.45
TSs269,139.532577630179,bottom_10,0.5
TSs217,521.612935220157,top_10,1.0
TSs131,448.999873075738,top_10,0.95
TSs116,439.132059185865,top_10,0.9
TSs30,429.278054534194,top_10,0.85
TSs3,427.941033817738,top_10,0.8
TSs297,402.584292348072,top_10,0.75
TSs138B,394.275470102886,top_10,0.7
TSs61,391.003519798234,top_10,0.65
TSs2,388.581296904685,top_10,0.6
TSs22A,387.768804477413,top_10,0.55
