sample,Flavonoid,rank,rank_within_panel_pct
TSs11,19.4751659921598,bottom_10,0.05
TSs182,23.559991993797,bottom_10,0.1
TSs209,33.3316633707094,bottom_10,0.15
TSs349,54.548112931208,bottom_10,0.2
TSs291,56.3631607843129,bottom_10,0.25
TSs366,74.4715076500377,bottom_10,0.3
TSs3A,75.6605824448428,bottom_10,0.35
TSs378,76.310481323036,bottom_10,0.4
TSs61,76.403832250301,bottom_10,0.45
TSs363,78.598991363029,bottom_10,0.5
TSs53,233.482231697613,top_10,1.0
TSs293,213.310771973677,top_10,0.95
TSs317,208.16394267839,top_10,0.9
TSs201,204.841386725877,top_10,0.85
TSs346,203.732177235388,top_10,0.8
TSs314A,198.878049198355,top_10,0.75
TSs297,193.029675638371,top_10,0.7
TSs56A,192.578043545976,top_10,0.65
TSs1A,185.05099508037,top_10,0.6
TSs368,181.132879223169,top_10,0.55
