sample,Phenol,rank,rank_within_panel_pct
TSs291,77.0327218393431,bottom_10,0.05
TSs333,78.7312509780833,bottom_10,0.1
TSs24,79.5223089316254,bottom_10,0.15
TSs325,83.6720723637473,bottom_10,0.2
TSs22,84.9228561472751,bottom_10,0.25
TSs136,94.4101787117432,bottom_10,0.3
TSs349,98.0617004196449,bottom_10,0.35
TSs151,98.5565363178966,bottom_10,0.4
TSs95,103.771931691614,bottom_10,0.45
TSs82,104.172723414918,bottom_10,0.5
TSs334,781.814978506539,top_10,1.0
TSs69,674.38931659966,top_10,0.95
TSs49A,616.190803172839,top_10,0.9
TSs297,555.534957627117,top_10,0.85
TSs358,493.280416621162,top_10,0.8
TSs33,467.824633162084,top_10,0.75
TSs60,460.161093199478,top_10,0.7
TSs9,456.124239349046,top_10,0.65
TSs366,433.496216864429,top_10,0.6
TSs287,431.757645209404,top_10,0.55
