sample,Tannin,rank,rank_within_panel_pct
TSs182,105.33473997992,bottom_10,0.05
TSs11,128.371590788144,bottom_10,0.1
TSs209,148.461797672119,bottom_10,0.15
TSs4,268.32335912163,bottom_10,0.2
TSs10,274.766637606925,bottom_10,0.25
TSs325,298.07419365711,bottom_10,0.3
TSs331,301.283607439672,bottom_10,0.35
TSs287,304.203020675397,bottom_10,0.4
TSs333,309.784244749376,bottom_10,0.45
TSs22,311.441080149254,bottom_10,0.5
TSs30,1089.26392780456,top_10,1.0
TSs27,998.261934315105,top_10,0.95
TSs98,983.632105533015,top_10,0.9
TSs161,974.448162462745,top_10,0.85
TSs53,966.191745478736,top_10,0.8
TSs195,964.176668972274,top_10,0.75
TSs277,870.136225602217,top_10,0.7
TSs155,864.012320443296,top_10,0.65
TSs138B,858.978665615279,top_10,0.6
TSs3,847.875300651545,top_10,0.55
