,Q1,Q2,Q3,pca_cluster
TSs156A,1e-05,0.99998,1e-05,1
TSs361,1e-05,0.99998,1e-05,1
TSs368,0.6805,1e-05,0.31949,2
TSs49,0.775724,1e-05,0.224266,2
TSs138B,1e-05,0.879564,0.120426,1
TSs22B,0.929692,0.070298,1e-05,2
TSs287,0.364437,1e-05,0.635553,2
TSs383,0.063021,0.104817,0.832161,2
TSs314A,0.421258,0.036699,0.542043,2
TSs30,0.312441,0.040449,0.64711,2
TSs291,1e-05,0.02548,0.97451,2
TSs157A,0.558948,1e-05,0.441042,2
TSs27,0.280594,0.224857,0.49455,2
TSs363,1e-05,0.99998,1e-05,1
TSs9,0.793035,0.082969,0.123996,2
TSs151B,1e-05,0.99998,1e-05,1
TSs133,1e-05,0.99998,1e-05,1
TSs155,1e-05,0.712423,0.287567,1
TSs209,1e-05,0.079412,0.920578,2
TSs136,0.700645,1e-05,0.299345,2
TSs22A,0.99998,1e-05,1e-05,2
TSs357,1e-05,0.757211,0.242779,1
TSs161,0.094814,0.039225,0.865961,2
TSs11,0.283234,0.006331,0.710435,2
TSs5A,0.137197,0.358711,0.504092,2
TSs131,0.396288,0.100979,0.502734,2
TSs294,0.254197,0.146209,0.599594,2
TSs378,0.404334,0.032763,0.562902,2
TSs336,0.45358,0.067718,0.478702,2
TSs111,0.012902,0.596557,0.390541,1
TSs56,0.523777,1e-05,0.476213,2
TSs3A,0.641491,1e-05,0.358499,2
TSs95,1e-05,0.069671,0.930319,2
TSs2,0.99998,1e-05,1e-05,2
TSs44C,0.469319,0.264289,0.266392,2
TSs201,0.333511,0.002008,0.664481,2
TSs217,1e-05,1e-05,0.99998,2
TSs168,0.148134,0.212314,0.639552,2
TSs98,0.124352,1e-05,0.875638,2
TSs116,0.080962,0.134202,0.784836,2
TSs53,0.594982,1e-05,0.405008,2
TSs63A,0.283187,0.100775,0.616038,2
TSs158,0.119445,0.237878,0.642677,2
TSs269,0.422697,0.156475,0.420828,2
TSs317,0.353636,1e-05,0.646354,2
TSs49A,0.437674,0.273832,0.288494,2
TSs417,0.128354,0.057655,0.813991,2
TSs195,0.216555,0.41211,0.371335,2
TSs371,1e-05,1e-05,0.99998,2
TSs23,0.223024,0.238873,0.538103,2
TSs51,0.374833,1e-05,0.625157,2
TSs59B,0.967421,0.032569,1e-05,2
TSs365,1e-05,0.99998,1e-05,1
TSs224,0.067115,0.419099,0.513786,2
TSs325,0.120238,0.061405,0.818357,2
TSs119A,0.170088,0.251825,0.578087,2
TSs166,1e-05,1e-05,0.99998,2
TSs297,0.904906,0.095084,1e-05,2
TSs338,0.407192,0.152363,0.440445,2
TSs293,0.593151,0.012501,0.394348,2
TSs24,0.209954,1e-05,0.790036,2
TSs334,0.233685,0.014996,0.751318,2
TSs1A,0.898044,0.101946,1e-05,2
TSs266,0.447709,0.04747,0.50482,2
TSs277,0.446652,0.339781,0.213567,2
TSs60B,0.658349,0.080023,0.261629,2
TSs303,0.197022,1e-05,0.802968,2
TSs120,0.123651,0.119107,0.757241,2
TSs132,0.258906,0.069602,0.671492,2
TSs78,1e-05,1e-05,0.99998,2
TSs61,0.10254,0.184273,0.713187,2
TSs60,0.99998,1e-05,1e-05,2
TSs274,0.070019,0.197666,0.732315,2
TSs10A,0.970665,1e-05,0.029325,2
TSs96,0.198381,1e-05,0.801609,2
TSs282,0.99998,1e-05,1e-05,2
TSs56A,0.064504,0.097312,0.838184,2
TSs296,0.99998,1e-05,1e-05,2
TSs33,0.416327,0.08067,0.503003,2
TSs311,0.297283,1e-05,0.702707,2
TSs68,0.984257,0.015733,1e-05,2
TSs104,0.378774,0.081042,0.540184,2
TSs58,0.203175,0.040774,0.756051,2
TSs358,1e-05,0.99998,1e-05,1
TSs82,0.21701,1e-05,0.78298,2
TSs15,0.3159,0.05394,0.63016,2
TSs3,0.772869,1e-05,0.227121,2
TSs4,0.723145,0.169583,0.107272,2
TSs331,0.201101,0.041283,0.757615,2
TSs314B,0.612521,0.027222,0.360257,2
TSs333,0.331117,1e-05,0.668873,2
TSs7,0.515049,0.222716,0.262235,2
TSs38,1e-05,0.014599,0.985391,2
TSs10,0.142155,0.358096,0.499749,2
TSs48,0.127109,0.163741,0.70915,2
