bin,mean,std,count,mid_bp,se
0,0.2629760123316604,0.3085596608264391,41,62500.0,0.04818892299833735
1,0.07295120250565777,0.19434597290638317,17,187500.0,0.04713582201214388
2,0.05774893893081415,0.10271246669034409,17,312500.0,0.024911432307766133
3,0.014391409248869369,0.015122392075161223,11,437500.0,0.004559572767813978
4,0.08258095995133667,0.09948432918286085,18,562500.0,0.023448681262331884
5,0.08457119792195338,0.10886761987344067,14,687500.0,0.029096095291425487
6,0.031445716682017566,0.03442945346610281,20,812500.0,0.0076986598378371626
7,0.07254032224446787,0.09358226905190635,24,937500.0,0.019102400679085023
8,0.01430905088761773,0.02540303060620177,8,1062500.0,0.008981327602167341
9,0.03661639246273417,0.07197655339218605,9,1187500.0,0.023992184464062014
10,0.01662724223091322,0.022210088113011218,10,1312500.0,0.0070234465470146645
11,0.020115131829804886,0.02562846258877477,8,1437500.0,0.00906102984395419
12,0.028737971193157158,0.04067546196502404,10,1562500.0,0.012862710468902413
13,0.0293652763312382,0.03808881505103501,8,1687500.0,0.013466429704973543
14,0.046023403167314375,0.0932101479053994,11,1812500.0,0.02810391702324919
15,0.01602277232503724,0.02252440648136008,9,1937500.0,0.007508135493786694
16,0.009670313089908445,0.016818249040734104,10,2062500.0,0.005318397322466173
17,0.009106383819764186,0.018914750185476774,5,2187500.0,0.008458933438430564
18,0.03583282142942708,0.07280731260006251,8,2312500.0,0.025741272229736482
19,0.019445921923833234,0.024240257453680907,12,2437500.0,0.006997559583054252
20,0.05885474223730975,0.13474583961572048,7,2562500.0,0.05092914026054164
21,0.03220208889520138,0.01940264841066402,7,2687500.0,0.007333511781519947
22,0.009025912136306545,0.016542563235435865,8,2812500.0,0.005848679320991986
23,0.0110791408493038,0.020654684754223284,7,2937500.0,0.007806737038301723
24,0.025765859219872744,0.014788767122982499,5,3062500.0,0.006613737718080571
25,0.026305343639035857,0.039129640940235286,6,3187500.0,0.015974609020315843
26,0.05376450688837838,0.0774015449876893,12,3312500.0,0.02234390141716767
27,0.014842892066512995,0.012168252762228323,3,3437500.0,0.00702534400783993
28,0.0684188819130628,0.10771378065009637,5,3562500.0,0.048171067129423394
29,0.025884544655512435,0.03643618238741789,12,3687500.0,0.01051821985480901
30,0.04147626457755552,0.03671827719155149,16,3812500.0,0.009179569297887873
31,0.0784491073591945,0.08296993024347779,7,3937500.0,0.031359685960088424
32,0.016881935943306756,0.02772152296461101,11,4062500.0,0.008358353662803217
33,0.042990994326841545,0.1016012992162868,11,4187500.0,0.030633944337550314
34,0.015882310052974833,0.0218822986770084,19,4312500.0,0.005020143609760704
35,0.011322943589974085,0.02129821590060627,10,4437500.0,0.006735087234393016
36,0.03133840383836002,0.044345807434064785,14,4562500.0,0.011851915568437376
37,0.018115589211990073,0.025119374083032876,13,4687500.0,0.006966860866456636
38,0.004004257389111682,0.007965613573925917,16,4812500.0,0.0019914033934814793
39,0.04766667075093269,0.10993606496947174,17,4937500.0,0.02666341223140574
