h2,n,r2_ceiling,r_ceiling
0.05,50,0.0028077102708090845,0.05298783134653733
0.05,105,0.005878037360243666,0.07666835957710107
0.05,250,0.013882637656706795,0.11782460548080267
0.05,500,0.027385097921772194,0.16548443407696142
0.05,1000,0.05331028837612625,0.23089020848907008
0.1,50,0.005599698211436487,0.07483113129865462
0.1,105,0.011687375888372268,0.10810816753775945
0.1,250,0.027385097921772194,0.16548443407696142
0.1,500,0.05331028837612625,0.23089020848907008
0.1,1000,0.10122428113431604,0.31815763566872957
0.2,50,0.011137032402448274,0.1055321391920408
0.2,105,0.023104718249764605,0.1520023626453372
0.2,250,0.05331028837612625,0.23089020848907008
0.2,500,0.10122428113431604,0.31815763566872957
0.2,1000,0.1838395372649248,0.4287651306542135
0.5,50,0.027385097921772194,0.16548443407696142
0.5,105,0.05582699513444308,0.2362773690695812
0.5,250,0.12340739520141464,0.35129388722466354
0.5,500,0.21970194557832523,0.46872374121472155
0.5,1000,0.360255136715639,0.6002125762724728
0.8,50,0.04310784907398271,0.20762429788919867
0.8,105,0.08642817696612881,0.2939866952195776
0.8,250,0.1838395372649248,0.4287651306542135
0.8,500,0.31058185079653133,0.5572987087698403
0.8,1000,0.4739602499573289,0.6884477104016897
