parent_A,parent_B,G_ij,cluster_A,cluster_B,Tannin_A,Tannin_B,Tannin_midparent,Tannin_absgap,Phenol_A,Phenol_B,Phenol_midparent,Phenol_absgap,Flavonoid_A,Flavonoid_B,Flavonoid_midparent,Flavonoid_absgap,Antioxidant_A,Antioxidant_B,Antioxidant_midparent,Antioxidant_absgap,Seed_Length_A,Seed_Length_B,Seed_Length_midparent,Seed_Length_absgap,Seed_Width_A,Seed_Width_B,Seed_Width_midparent,Seed_Width_absgap,Seed_Thickness_A,Seed_Thickness_B,Seed_Thickness_midparent,Seed_Thickness_absgap,Mass_of_Seeds_A,Mass_of_Seeds_B,Mass_of_Seeds_midparent,Mass_of_Seeds_absgap,Seed_Coat_Tannin_A,Seed_Coat_Tannin_B,Seed_Coat_Tannin_midparent,Seed_Coat_Tannin_absgap,Crude_Protein_A,Crude_Protein_B,Crude_Protein_midparent,Crude_Protein_absgap,Total_Oxalate_A,Total_Oxalate_B,Total_Oxalate_midparent,Total_Oxalate_absgap,Soluble_Oxalate_A,Soluble_Oxalate_B,Soluble_Oxalate_midparent,Soluble_Oxalate_absgap,Insoluble_Oxalate_A,Insoluble_Oxalate_B,Insoluble_Oxalate_midparent,Insoluble_Oxalate_absgap
TSs361,TSs358,1.6094920083442683,1,1,697.419649368991,604.948240539693,651.183944954342,92.47140882929807,274.975748250218,493.280416621162,384.12808243569,218.304668370944,148.504843097067,106.393859340583,127.449351218825,42.110983756484,224.357952411057,233.724883943803,229.04141817743,9.366931532746008,8.579,8.618,8.598500000000001,0.0389999999999997,6.784,6.819,6.8015,0.03500000000000014,6.554,6.798,6.676,0.24399999999999977,0.3004,0.3188,0.3096,0.018399999999999972,969.97090051681,743.878474243588,856.924687380199,226.09242627322203,36.6822429906542,30.7540975617775,33.71817027621585,5.928145428876704,853.189029158319,1033.44238905325,943.3157091057845,180.253359894931,307.592219560878,299.878875370553,303.7355474657155,7.713344190325017,545.59680959744,733.563513682701,639.5801616400705,187.96670408526097
TSs361,TSs151B,1.5998321135997637,1,1,697.419649368991,,,,274.975748250218,,,,148.504843097067,,,,224.357952411057,,,,8.579,7.776,8.1775,0.8030000000000008,6.784,5.898,6.340999999999999,0.8860000000000001,6.554,5.699,6.1265,0.8550000000000004,0.3004,0.2064,0.2534,0.094,969.97090051681,1136.7674734124,1053.369186964605,166.79657289558997,36.6822429906542,,,,853.189029158319,,,,307.592219560878,,,,545.59680959744,,,
TSs151B,TSs358,1.599598434540323,1,1,,604.948240539693,,,,493.280416621162,,,,106.393859340583,,,,233.724883943803,,,7.776,8.618,8.197,0.8420000000000005,5.898,6.819,6.358499999999999,0.9210000000000003,5.699,6.798,6.2485,1.0990000000000002,0.2064,0.3188,0.2626,0.11239999999999997,1136.7674734124,743.878474243588,940.322973827994,392.888999168812,,30.7540975617775,,,,1033.44238905325,,,,299.878875370553,,,,733.563513682701,,
TSs361,TSs357,0.8232046276100278,1,1,697.419649368991,384.017573600314,540.7186114846525,313.40207576867704,274.975748250218,125.058583531967,200.01716589109247,149.91716471825097,148.504843097067,148.272566218671,148.388704657869,0.2322768783960214,224.357952411057,318.54422830517,271.4510903581135,94.18627589411301,8.579,9.152,8.8655,0.5729999999999986,6.784,7.329,7.0565,0.5449999999999999,6.554,6.438,6.496,0.11600000000000055,0.3004,0.3586,0.3295,0.058199999999999974,969.97090051681,936.096156621709,953.0335285692595,33.874743895101005,36.6822429906542,34.6034899275724,35.6428664591133,2.0787530630818054,853.189029158319,1155.22306849168,1004.2060488249995,302.03403933336085,307.592219560878,267.993887952251,287.7930537565645,39.59833160862701,545.59680959744,887.229180539431,716.4129950684355,341.632370941991
TSs156A,TSs363,0.8211962514462562,1,1,673.027286238732,522.529740487655,597.7785133631935,150.49754575107704,227.193040482138,144.944952744426,186.068996613282,82.24808773771201,87.0933996609076,78.598991363029,82.84619551196829,8.494408297878593,129.392142398117,274.354203181557,201.87317278983699,144.96206078344002,7.666,8.546,8.106,0.879999999999999,7.115,6.877,6.996,0.23800000000000043,6.955,6.773,6.864,0.18200000000000038,0.2889,0.3137,0.3013,0.02479999999999999,956.650402414259,689.818679398602,823.2345409064305,266.8317230156571,,31.5290495289265,,,,999.110778466456,,,,409.020536900019,,,,590.090241566437,,
TSs357,TSs358,0.8179113721850683,1,1,384.017573600314,604.948240539693,494.4829070700035,220.93066693937897,125.058583531967,493.280416621162,309.1695000765645,368.221833089195,148.272566218671,106.393859340583,127.33321277962699,41.87870687808798,318.54422830517,233.724883943803,276.1345561244865,84.819344361367,9.152,8.618,8.885,0.5339999999999989,7.329,6.819,7.074,0.5099999999999998,6.438,6.798,6.618,0.3600000000000003,0.3586,0.3188,0.3387,0.0398,936.096156621709,743.878474243588,839.9873154326485,192.21768237812103,34.6034899275724,30.7540975617775,32.67879374467495,3.8493923657948983,1155.22306849168,1033.44238905325,1094.332728772465,121.78067943842984,267.993887952251,299.878875370553,283.936381661402,31.88498741830199,887.229180539431,733.563513682701,810.396347111066,153.66566685673
TSs151B,TSs357,0.8141167530862423,1,1,,384.017573600314,,,,125.058583531967,,,,148.272566218671,,,,318.54422830517,,,7.776,9.152,8.463999999999999,1.3759999999999994,5.898,7.329,6.6135,1.431,5.699,6.438,6.0685,0.7389999999999999,0.2064,0.3586,0.2825,0.15219999999999997,1136.7674734124,936.096156621709,1036.4318150170545,200.67131679069098,,34.6034899275724,,,,1155.22306849168,,,,267.993887952251,,,,887.229180539431,,
TSs60,TSs282,0.8080587383640015,2,2,397.596636214475,660.284995971696,528.9408160930855,262.68835975722106,460.161093199478,145.065018503903,302.6130558516905,315.096074695575,156.265432461037,90.9043818134728,123.5849071372549,65.3610506475642,383.563839146889,334.345418483785,358.954628815337,49.218420663103984,8.553,8.552,8.5525,0.0010000000000012221,6.529,6.501,6.515000000000001,0.02799999999999958,5.704,6.3747,6.03935,0.6707000000000001,0.2107,0.264,0.23735,0.053300000000000014,922.285532275402,718.698073517234,820.491802896318,203.58745875816805,35.1683820896065,,,,1074.94023904382,,,,625.93786407767,,,,449.002374966155,,,
TSs156A,TSs358,0.801450024286579,1,1,673.027286238732,604.948240539693,638.9877633892124,68.07904569903906,227.193040482138,493.280416621162,360.23672855165,266.08737613902395,87.0933996609076,106.393859340583,96.7436295007453,19.300459679675413,129.392142398117,233.724883943803,181.55851317096,104.33274154568602,7.666,8.618,8.142,0.952,7.115,6.819,6.9670000000000005,0.29600000000000026,6.955,6.798,6.8765,0.15700000000000003,0.2889,0.3188,0.30384999999999995,0.029899999999999982,956.650402414259,743.878474243588,850.2644383289235,212.771928170671,,30.7540975617775,,,,1033.44238905325,,,,299.878875370553,,,,733.563513682701,,
TSs156A,TSs361,0.7997286114641269,1,1,673.027286238732,697.419649368991,685.2234678038615,24.392363130259014,227.193040482138,274.975748250218,251.084394366178,47.78270776807997,87.0933996609076,148.504843097067,117.79912137898731,61.411443436159416,129.392142398117,224.357952411057,176.875047404587,94.96581001294001,7.666,8.579,8.1225,0.9130000000000003,7.115,6.784,6.9495000000000005,0.3310000000000004,6.955,6.554,6.7545,0.4009999999999998,0.2889,0.3004,0.29464999999999997,0.01150000000000001,956.650402414259,969.97090051681,963.3106514655345,13.320498102551028,,36.6822429906542,,,,853.189029158319,,,,307.592219560878,,,,545.59680959744,,
