,TSs156A,TSs361,TSs368,TSs49,TSs138B,TSs22B,TSs287,TSs383,TSs314A,TSs30,TSs291,TSs157A,TSs27,TSs363,TSs9,TSs151B,TSs133,TSs155,TSs209,TSs136,TSs22A,TSs357,TSs161,TSs11,TSs5A,TSs131,TSs294,TSs378,TSs336,TSs111,TSs56,TSs3A,TSs95,TSs2,TSs44C,TSs201,TSs217,TSs168,TSs98,TSs116,TSs53,TSs63A,TSs158,TSs269,TSs317,TSs49A,TSs417,TSs195,TSs371,TSs23,TSs51,TSs59B,TSs365,TSs224,TSs325,TSs119A,TSs166,TSs297,TSs338,TSs293,TSs24,TSs334,TSs1A,TSs266,TSs277,TSs60B,TSs303,TSs120,TSs132,TSs78,TSs61,TSs60,TSs274,TSs10A,TSs96,TSs282,TSs56A,TSs296,TSs33,TSs311,TSs68,TSs104,TSs58,TSs358,TSs82,TSs15,TSs3,TSs4,TSs331,TSs314B,TSs333,TSs7,TSs38,TSs10,TSs48
TSs156A,1.5279471356904804,0.7997286114641269,-0.17745119147736374,-0.20560263423427166,0.4657566500793652,-0.020958050457446295,-0.14885934185664326,-0.12754911052930054,-0.1205790401599018,-0.13617651310074394,-0.1697057384855581,-0.23170861500029957,0.054615895079409414,0.8211962514462562,-0.0821608350575875,0.7958023568347626,0.5991688302129398,0.4376285162258647,-0.12367631581442391,-0.07687683480472408,-0.16121705745475573,0.42692584224927504,-0.07624542731992905,-0.11071232539286659,0.11950365980622984,-0.043412703308473424,-0.04664707673115298,-0.08499930565248581,-0.13041497479888595,0.4456573413369554,-0.17033028128093688,-0.13324039933220447,-0.11987422304555474,-0.012130782502367592,0.06859589942836397,-0.1342143917024357,-0.2560563676916612,-0.027392834722301085,-0.2516650444637434,-0.06545876742107155,-0.13562077705497227,-0.10269465176487631,0.04787686465372048,-0.018857196717269036,-0.18486174016382373,0.10218240763737539,-0.12100543135332367,0.09190886259262532,-0.19993155653684772,0.04398546649967021,-0.22164310875598311,-0.0884566395553357,0.3580236603757951,0.09705501160619558,-0.19096846337894766,-0.007669004527667568,-0.21155595232898364,-0.013406678027763326,-0.03569237628185672,-0.12144421329513681,-0.22733606361301395,-0.1784670227714494,0.045548201878663326,-0.09648735212931248,0.16085335091544017,-0.0306651590807115,-0.22805515786757447,-0.05079099931553234,-0.16468825881295987,-0.107305268066457,-0.06200771707663987,-0.06906735869774706,-0.05885294858941303,-0.14896561018667853,-0.17866722701782448,-0.06461998793831059,-0.0811073346963352,-0.12190583076614961,-0.05061922155749376,-0.13361265976583517,-0.038577649499784095,-0.09519599595594916,-0.16597120608137736,0.801450024286579,-0.136947566126197,-0.13647060199472896,-0.20747118023798003,0.0287431517048714,-0.15128972617985575,-0.057058887194265495,-0.13216284395366557,0.014854707912832015,-0.14753083487297514,0.14372922073934505,-0.07771627706904954
TSs361,0.7997286114641269,1.6225777658137337,-0.2187577859607479,-0.258089037816867,0.6237461390588793,-0.017915824989309315,-0.18541268222971413,-0.16582507277427627,-0.1529017037661639,-0.18921732061733235,-0.2078242860426338,-0.22881253320333503,0.032697869022764316,0.7840451436607807,-0.050562059324430336,1.5998321135997637,0.6801946530987809,0.5878581284436406,-0.14488381842818898,-0.14259988828387726,-0.1503175889922663,0.8232046276100278,-0.19498072845837283,-0.1888003202960606,0.14135902439250225,-0.07198563630974669,-0.04174756615552593,-0.1639631994470779,-0.13578633566412207,0.4752750414913626,-0.27159757214295993,-0.2000110401050802,-0.16459559865473256,-0.07453268764416777,-0.0007705771340243652,-0.1785753860834919,-0.24300987935070298,0.030881111414610998,-0.26918782204506864,-0.1373954375767735,-0.18827991298239619,-0.105149745140858,-0.011548823395599964,-0.000648992298419661,-0.26879248437972253,-0.03817247423499367,-0.13136005837482695,0.19328983704917213,-0.23691783314962211,0.0341653796547043,-0.22267823273873433,-0.10509989649658812,0.5142829445799486,0.19764363555265682,-0.17084423971547885,0.04638219667986187,-0.23546141575732438,-0.06202201396451572,-0.029434560085433166,-0.17323590737869976,-0.3017593158770609,-0.2068114818115538,-0.06429298931864212,-0.15117938094204497,0.09727172463961847,-0.09021645455942198,-0.301731141234448,-0.11789904316981421,-0.11890791171596773,-0.23082207341552055,-0.01549220806092932,-0.17820543078606937,-0.03217080739966739,-0.2113202960072,-0.2428970852632459,-0.1168946553294754,-0.1004541914704841,-0.14505715458635293,-0.13230259965354205,-0.21721569815398456,-0.01611906880317932,-0.10218708128341582,-0.16756127287351516,1.6094920083442683,-0.2151225762058152,-0.16526426682833376,-0.23582371755570763,-0.011090858301651248,-0.17653381487027364,-0.09197371054599722,-0.21154819257471352,0.04371986376310046,-0.14922638721002437,0.09428025455480366,-0.08414122849079289
TSs368,-0.17745119147736374,-0.2187577859607479,0.773048668733664,-0.026850959055018504,-0.14273173903455752,0.003606427822525867,0.03962849009683293,-0.06181662453170187,-0.044665803494486796,0.048958261056483265,-0.11163263111841637,0.17864947375223267,-0.04704163605797405,-0.12906919651933033,0.2546542843835186,-0.21877491420430473,-0.16768022057780513,-0.16071201296740723,-0.0491707005128208,0.1266572243422913,-0.03962524133716542,-0.12041377097554921,-0.05813179753127343,-0.008716045061088681,-0.10694814245234076,0.041966917619150786,-0.05304277945726813,0.009663163186621769,0.0055276794747195915,-0.06649061801379749,0.1348746238211938,0.05993416016374469,-0.004838292897678883,-0.01604119072842227,-0.042213122289246764,0.0005642349403376358,-0.11271338474079902,-0.009645594397349721,-0.0007877361750509961,-0.09923527215379929,0.16286385899897338,0.001955671200787647,-0.06659561190274027,-0.06583670732625695,0.07669556794530816,-0.04891840632444354,-0.033848245177973794,-0.08248363617913,-0.03830335221540211,0.017822916437575668,0.04257403365758435,0.07573215334610839,-0.16946961499242938,-0.08382824271230292,-0.0028317244123721285,-0.05631219285156206,0.0009730885405123474,-0.06786179703616768,-0.004525147003222126,0.005213459009894873,0.05900741212500924,0.02202444382625312,-0.03315571238943551,0.06458099761410252,-0.026463660373174283,0.04977334643492738,0.20227306740960863,-0.04181066784526717,-0.05257465938379554,-0.10852144737861495,-0.02849141672642957,0.2772130342135366,-0.07384228880780007,0.2217200194905622,0.00010301886249958078,0.3615859954238354,-0.01743435936677541,0.027048740687586382,-0.008436471465437299,0.013852489790388016,0.09459328118556208,0.011998710819751533,0.018405043809293573,-0.21133634406828097,-0.037739396312075825,0.05799849704360757,0.1511589329618373,0.06543384855148841,0.02966564686590711,0.08719290800129494,-0.03490976602143721,-0.09117630261872961,-0.09113047562309126,-0.009248452876161937,0.005090709466161448
TSs49,-0.20560263423427166,-0.258089037816867,-0.026850959055018504,1.096325682713346,-0.2321095559627235,0.22945850646816068,-0.020946581709378558,-0.09079484611813668,0.08119551651939186,-0.06267904546587212,-0.09948798684415402,-0.04991686340972821,-0.037306318517448325,-0.2198061603767811,-0.0386005197601297,-0.24637561476906678,-0.1860773064926209,-0.24078922081118662,-0.012046934360169324,-0.05463782619652597,0.43647859819075496,-0.16278549477184112,0.024863276870379068,0.10273990062446191,-0.05279323548575813,-0.05886507184710925,-0.02428275020649342,0.1561523213841556,0.038279676857849325,-0.1652546284247644,-0.07018926838737455,0.06651516467093445,0.044476468638579715,0.13886431516783052,-0.04043486240463982,0.03707451444602621,-0.11481995434230341,-0.001818654350398949,-0.0009471587764449642,0.0020501446976565313,-0.0959740926740831,0.0172212505166754,-0.06181253718607898,0.4327314994241718,0.21476739945785214,-0.05181207786027299,-0.031564398279848596,0.03058446456857528,-0.02787786300272878,0.009669307796042458,0.0584926335897008,0.12367087073949325,-0.19523995652780854,-0.025113400750123784,-0.028783222557719788,-0.024487882041482147,0.01312942704534127,0.24915726247058664,-0.02043094927576331,0.33076882699734195,0.047300332532823924,-0.008468087693549705,0.14057538891676505,-0.07210218327960755,-0.05329287055233062,0.016593751590511727,-0.009875795338225732,0.027666970885899513,0.0445737983910389,-0.09477885986624106,-0.05193034576937128,-0.05962877842507408,-0.04829991080520743,0.025654715585120905,0.05067259109039289,-0.16335274341451358,-0.06355703852266854,0.17475319064752778,0.10390448182208008,-0.09237733369663469,0.07071863094942848,-0.008042705228880388,-0.08953025017775934,-0.2562557679830043,0.0022733566518422783,-0.05390766030237965,0.009619153631507272,-0.1013762651237202,-0.02193065168672163,-0.026081545762256117,0.06792831539426472,0.06501072189211028,-0.058485142641468,-0.04376854977340571,-0.06746507274048612
TSs138B,0.4657566500793652,0.6237461390588793,-0.14273173903455752,-0.2321095559627235,1.1103672343261812,-0.06053991705068978,-0.06603913614520292,-0.01711022427010256,-0.13535196985085524,-0.06883558375219744,-0.08454597042619817,-0.15412035326913207,-0.013065217603592054,0.516228379374274,-0.07750354811055327,0.6198198844295151,0.5085405072479421,0.42627557778429986,-0.08331350659145459,-0.10773206488665475,-0.16058282892832695,0.36473411083509527,-0.1460229017334788,-0.10095272542313442,0.10583291811464299,-0.07896368395699037,-0.030378106126529608,-0.07351573036631594,-0.018113876299657196,0.2896500496093932,-0.12080990207424133,-0.13102954913831888,-0.1218632552515734,-0.12251744239113982,0.021816577918108294,-0.12028127993797642,-0.09236277678115165,0.02847937551144934,-0.14620823124296475,-0.05489031207307934,-0.12815973630184638,-0.0565026420530802,0.05606540295344203,-0.06941824280625555,-0.1841068094564541,0.09399746164881653,-0.13847730392546065,0.24650400491733396,-0.14798972167377195,0.1033853261397045,-0.13804635926585554,-0.06022537536876742,0.4784443913980295,0.2263668037328086,-0.08252312674476252,0.0907923764930601,-0.13339844823443756,-0.07325729378028516,-0.013318560216845946,-0.1648129856336461,-0.1706209053822105,-0.10780902742103976,-0.052071336084927665,-0.10009733784945835,0.00207162032728085,-0.10470289228064737,-0.17396630256265813,-0.04065298300573865,-0.09980766981016612,-0.12174364208921507,-0.01946789710626232,-0.12968276195978135,-0.009107846177902246,-0.12804364946511784,-0.14918686336810552,-0.11517417368048362,-0.08781521825580357,-0.10161563628809359,-0.08235827574811727,-0.10461574262350135,-0.0905051524708229,-0.07013912826578755,-0.06230290211453734,0.6254675518813316,-0.16161665740755557,-0.0847704077013253,-0.1545408157716999,-0.026479449943514942,-0.16120824975419665,-0.15485850634336076,-0.15683193523502414,0.03001541401258855,-0.11233026939938706,0.18440121352143304,0.06709265839172748
TSs22B,-0.020958050457446295,-0.017915824989309315,0.003606427822525867,0.22945850646816068,-0.06053991705068978,0.7748333945528543,-0.020543873307899713,-0.15916254717956824,0.06177311868237521,-0.035868566894104885,-0.09173870986789659,-0.0892438125394892,0.013216667529349746,-0.0478487628864346,0.11582647031582088,-0.021946309598746865,-0.02389684672433802,-0.057116638908404474,-0.14692277300460782,0.025856407038510387,0.279918695966018,-0.06373301141916915,-0.02480083242731986,-0.017338696397335006,0.02099679042534263,-0.03146261333813012,-0.030861688657153143,-0.003152849175377771,-0.024348864979012293,-0.06758174934104268,0.025085131810628068,-0.023270830203000494,-0.13927472618036932,0.2843749408008519,-0.037438977970813345,-0.05485208991411021,-0.08297072393361685,0.012225491917728518,-0.15587995112216424,-0.01689287310811177,0.09920978745115683,0.002819631755435333,-0.061579301498077554,0.1432491313566623,0.03650259898020587,-0.005042424368152967,-0.050580111560361844,0.03595912970268706,-0.2007836412537989,-0.02580283013410594,-0.058226783646196496,0.20825377858367733,-0.08550373821065843,-0.04120019174445463,-0.112756303831653,0.027310162527825046,-0.21197835244419508,0.08259160562347384,0.008402619140832648,0.045658883507441586,-0.05912717987938997,-0.07129602192941595,0.21600491716560508,-0.04409935279513534,-0.039927199969702974,0.0819187770998608,-0.13179193092815972,-0.0914056517030677,-0.09081253646700493,-0.1438202392121584,-0.09214548827424615,0.12894971435046762,-0.13945145223750952,0.0723091303417076,-0.0424826031833688,0.32208708781343465,-0.04615745595810628,0.2176134184957361,0.08886452126344727,-0.07675689110778121,0.2874864249738884,0.013844044669672383,-0.12745823564888678,-0.020116834026603234,-0.09552819221421385,-0.0799490660161376,0.060133575067520734,0.011555236413136096,-0.12392181230406986,0.15061980877651407,-0.039911081112468105,0.09346629483384669,-0.1337557968782492,-0.06898441121959807,-0.10206609989181126
TSs287,-0.14885934185664326,-0.18541268222971413,0.03962849009683293,-0.020946581709378558,-0.06603913614520292,-0.020543873307899713,0.653677971067092,0.05791904460413192,0.04523894757246563,0.0037304248459379733,0.18614713844057512,0.14111599309664044,-0.003960517670747573,-0.15980385160540905,0.009529358181278438,-0.19055929885157058,-0.1439802063300611,-0.05598430183677043,0.08158839500953614,0.11373782940671394,-0.07196171901465,-0.1226295857844516,0.05960181457794118,0.02287439678250265,-0.07668912518781626,-0.03454238870168022,0.010373629984039153,-0.03974775598188507,-0.010373778507432816,-0.08434716787784274,0.03875868286951599,0.0068859564256279855,-0.02655724204236569,-0.04191244314221148,-0.048339120861934884,0.04014113691856424,-0.035508744541334215,-0.05344316631776568,0.06874400205768705,-0.0751234725162029,0.05702817444974951,-0.010035603017579055,-0.0009188770132498003,-0.052319363953593434,0.07884751159595357,-0.022096913247862535,-0.01064786552226909,-0.06514853216910385,-0.0009597546906852229,-0.012235698127638335,0.03644803508489623,0.025374828757263573,-0.0886148236706928,-0.011417784412358842,0.06077388746911834,-0.012819793732108708,0.13374840454400777,-0.08184188845061666,-0.02824697251294596,-0.020747324978893446,0.03685944243697282,0.07955649013138542,-0.03808834899898245,0.056801229564257726,-0.035813052826177166,-0.0013197654212964824,0.004208800200528932,0.05418568613623544,0.0062588465064080615,0.024236947223172278,-0.04048269094479628,0.004672759862600306,-0.028345542158593817,0.02326344475495913,0.0562386989936929,0.023328286314750066,0.00967620405271506,-0.03397009362718662,0.0018140522843964754,0.07822259887231311,0.005404504006355956,0.021828784702511563,0.02758857597089068,-0.18334806498088316,0.01943333260318651,-0.004367591408211259,0.038771610723291626,0.005301064553179325,-0.059110197652352175,0.06896603883125009,0.03790369794896795,-0.028138298057788662,-0.0317730458311131,-0.06514962081695808,0.028787859732814128
TSs383,-0.12754911052930054,-0.16582507277427627,-0.06181662453170187,-0.09079484611813668,-0.01711022427010256,-0.15916254717956824,0.05791904460413192,0.8622281438796022,-0.052982519827045216,0.03112109729905529,0.2087511810011207,0.019611259290213665,0.032053310570685334,-0.12554780369455837,-0.09339313029052575,-0.16911865367681508,-0.06652137355447577,0.0006603882371852111,0.12643523246606603,-0.006449012537751037,-0.08907821303525079,-0.06906425962434455,0.05867736657731106,0.07174369300685217,-0.04840921682364994,-0.03685789956039472,0.035678991669513105,-0.02041038785721441,-0.03823464802118229,-0.088946973918627,0.062364528696957404,-0.035656815548432634,-0.04080551730208315,-0.11529529409933886,0.10392242004773061,0.06849610200160065,0.1518271502655962,-0.1418401187961896,0.04734001808139732,-0.10271697770143952,-0.07028842375126367,0.007660957935138232,0.0726666042984546,-0.09932623074141998,-0.02937574248189314,0.056284999591628,0.012577611182467778,-0.10319923204436308,0.12530322395976667,-0.01437042127034052,-0.021735471944307187,-0.05783523652643713,0.0842354074468764,0.015554625456720103,0.03114026827549922,-0.04303672428490626,0.039374198188926686,-0.008203611302499273,-0.014796955217673408,-0.02444965945865881,0.030210484760661984,-0.014003574832264899,-0.09438470263194527,-0.0057450666140468854,0.000976268831759625,-0.056086397197459135,-0.009577402981987797,0.0415161385540424,0.04185873281265006,0.3712416971759917,0.04173190211038532,-0.10864621241805232,0.057032323557473355,-0.06481756597990837,-0.01830416141501526,-0.18504168199363846,0.04437155313122336,-0.07523717907467344,0.0006454107689321098,0.24221873863769322,-0.06209885137603871,-0.017824016213628325,0.04412761199554784,-0.1635028181600895,0.032483922524739035,0.07314288329376344,-0.08067915269708283,0.07327783851925715,0.004939252754636161,-0.08552751667786433,-0.008034828479924226,-0.013468976148002246,0.06263980910260508,-0.04082388584171403,0.007966548467644864
TSs314A,-0.1205790401599018,-0.1529017037661639,-0.044665803494486796,0.08119551651939186,-0.13535196985085524,0.06177311868237521,0.04523894757246563,-0.052982519827045216,0.7389853956049435,-0.009392342135764273,-0.017054997887405735,-0.01781982290970376,0.023001026150563295,-0.16845939383348307,-0.043005747261132106,-0.14896318099286782,-0.1612973322115858,-0.136081792004332,-0.0360174895952125,-0.038056559333645164,0.10503597955336143,-0.09494652895351224,0.11396342935524156,0.04832748251374163,-0.031185624655455747,0.059076678959250076,0.00037282790464803514,0.05886163346316432,0.17064434163196068,-0.06306649984694816,-0.06312683223621914,0.04185226762977259,0.039342164045605164,0.022894676856667785,-0.019238085303468877,0.027565283400983753,-0.050003456367052605,0.046387508525320316,0.034365120874265354,-0.002990549464966232,0.06711149806616687,-0.04936278332536305,-0.05754342855697247,0.07781246954076645,0.09185023740351463,-0.04839860546865782,0.028761836322541107,-0.07407718708745692,-0.06941544389610395,-0.07815678076056722,0.053818519352005115,0.008772963764814843,-0.04079336433801975,-0.021496356104073185,-0.025593988421178656,0.020628067607442232,0.0907668693823682,0.020880653806478106,-0.006966304482051364,0.059151201125215117,0.1843784419050531,0.02075402318579056,-0.010180675403657656,0.03545242186802126,-0.06650580309780013,-0.04455712949286617,0.04384698850480691,0.008535655487010714,-0.008093611697196211,0.027134415576716184,0.004259079668812629,-0.040811051879486145,-0.01899798813022381,-0.06698709785856595,0.07305686502632767,-0.09089981212582791,-0.014270920117511783,-0.00667388690152859,-0.005847111630182681,0.03271306812240032,-0.01996784739991959,0.04508198881191164,-0.013384045754372879,-0.15157287378471196,-0.012809267444405083,-0.022646335710935977,0.02030954632575312,-0.08559429195119794,-0.004109816811474284,0.24530170834811482,0.06093687747125625,-0.036919795522665964,-0.1513789868540736,-0.05623320307017677,-0.03276572874657617
TSs30,-0.13617651310074394,-0.18921732061733235,0.048958261056483265,-0.06267904546587212,-0.06883558375219744,-0.035868566894104885,0.0037304248459379733,0.03112109729905529,-0.009392342135764273,0.7423636526896732,-0.007342893086779911,0.07773701065968243,0.01736914291987282,-0.1309231618268301,0.030325811895018935,-0.18983128061063986,-0.07139337052549329,-0.11162673031855641,0.019139508442846728,-0.012860710648925112,-0.0754778393349931,-0.11303321138636134,0.018595908924744657,0.024102953072836653,-0.052911981136164285,0.01999082532942692,0.0783561574004752,-0.010605271370973396,0.017092784491159366,-0.07391089810844029,0.05660080533642458,-0.07371849918179314,0.03278334315724436,-0.11357701845571326,-0.013338143453082688,0.042890767470432904,0.14646410810447277,-0.10251545816019698,0.07638808741353764,0.023883021756150376,0.07613340481886413,0.0012492598239641388,0.018772880920432687,-0.054866236600638045,0.02515676763927035,-0.03984935829180276,0.024098099901988395,-0.018672015453489225,0.08469423184390426,-0.018302485078655634,0.043822714162653716,-0.01686357647967941,-0.08650627487925697,-0.08516695485018912,0.061150818324448596,-0.02326995223585602,0.07883139569131754,-0.06414867342278646,0.02018463608456151,-0.0499850763775661,-0.0238050407944893,0.04575668097309036,-0.0708066186378896,0.048059472699035474,-0.12778492978719908,-0.019361280808146128,0.009538730060288958,0.07037300146383506,0.04787845863394961,-0.04891404519656206,-0.0370181956308245,0.06208953168661981,0.010152898204900385,0.04888346461418651,-0.04484192594224646,0.12316140140660031,0.008969836685315384,-0.05934845919447296,-0.014085053307749113,-0.020322948645192403,-0.015327890529765608,0.06850755230245992,0.07514015373168476,-0.18666928600944435,0.04191521035304155,0.026010615556498355,-0.016168932282121285,-0.033027156919977964,-0.019276958291863246,0.017778419897052256,0.048707785507726864,-0.029319773774981652,0.2917871701448496,-0.06608563013070022,-0.04166769627351356
