sample,n_called,H_obs,H_exp,F,cluster
TSs358,1615,0.007430340557275541,0.3150482741140597,0.9764152316714947,1
TSs361,1615,0.0086687306501548,0.3148213483631185,0.9724646035117155,1
TSs156A,1618,0.012978986402966625,0.3142464606353041,0.958698066553471,1
TSs363,1620,0.013580246913580247,0.31471909698966666,0.9568496254486072,1
TSs365,1615,0.013622291021671827,0.3145698825975334,0.9566955014600033,1
TSs151B,1618,0.014215080346106305,0.3145714622885545,0.9548112843972257,1
TSs282,1605,0.01806853582554517,0.3150851059755453,0.9426550621312214,2
TSs133,1619,0.026559604694255712,0.31427565383814793,0.9154894616560597,1
TSs297,1614,0.03903345724907063,0.31484798001760234,0.8760244317054587,2
TSs166,1607,0.04169259489732421,0.3150531886392664,0.8676649010365614,2
TSs116,1598,0.04630788485607009,0.31510016498389715,0.8530375734381586,2
TSs157A,1602,0.05555555555555555,0.31514880163031606,0.8237164308791352,2
TSs38,1601,0.07870081199250469,0.3154220192215657,0.7504904312427791,2
TSs168,1617,0.11564625850340136,0.3148490187304983,0.6326929683004945,2
TSs24,1616,0.12561881188118812,0.314271734673508,0.6002860008658063,2
TSs155,1617,0.13481756338899195,0.3149340447081575,0.5719181026810727,1
TSs277,1611,0.15021725636250777,0.31479593779743004,0.5228106899550528,2
TSs217,1611,0.16139044072004965,0.31548513092583125,0.48843725139619454,2
TSs303,1619,0.169857936998147,0.3143633341293192,0.4596763726641455,2
TSs138B,1620,0.17777777777777778,0.31460008404654105,0.43490867678383127,1
TSs48,1615,0.18761609907120744,0.3150646898588664,0.40451562771045435,2
TSs78,1612,0.21029776674937964,0.31537948264657106,0.3331913509889002,2
TSs2,1615,0.21424148606811144,0.3150749649083183,0.32003012003682296,2
TSs10,1616,0.2172029702970297,0.31481806361070175,0.3100682730657447,2
TSs22A,1623,0.2341343191620456,0.31472053051779475,0.2560564168570906,2
TSs49A,1624,0.23460591133004927,0.31482289267897484,0.2548003439849048,2
TSs269,1615,0.24210526315789474,0.3146068524197156,0.23045139895775957,2
TSs95,1613,0.24736515809051457,0.31509469092685694,0.2149497747395066,2
TSs111,1620,0.26296296296296295,0.31519954842302333,0.1657254451074106,1
TSs357,1621,0.26835286859962987,0.3151250252183696,0.14842412653938997,1
TSs68,1622,0.2725030826140567,0.3149340891963139,0.13472979914793493,2
TSs10A,1618,0.2737948084054388,0.31471594980212286,0.1300256355688778,2
TSs56,1619,0.27671402100061765,0.31474129278035445,0.12082072690180679,2
TSs195,1620,0.2777777777777778,0.31490219351322984,0.11789189310265114,2
TSs60,1621,0.2782233189389266,0.3146420634908999,0.11574658565327711,2
TSs3A,1625,0.27876923076923077,0.31475994610995967,0.11434337750253565,2
TSs331,1617,0.28076685219542363,0.31460970637416136,0.10757091562359122,2
TSs49,1611,0.28429546865301053,0.31535659033181046,0.09849523565091245,2
TSs136,1621,0.2862430598396052,0.3151862442531945,0.09182883117937968,2
TSs296,1624,0.2881773399014778,0.31485774954388107,0.08473797986885778,2
TSs336,1620,0.30246913580246915,0.3147226293187403,0.038934262664224284,2
TSs293,1616,0.3032178217821782,0.3154600140704167,0.0388074296018569,2
TSs291,1619,0.30327362569487337,0.31506148293220104,0.03741446630549994,2
TSs44C,1624,0.312192118226601,0.31485093316957813,0.008444678617309687,2
TSs274,1622,0.3212083847102343,0.3150925965311469,-0.01940949500691569,2
TSs1A,1625,0.32184615384615384,0.31475994610995967,-0.022513054229964302,2
TSs131,1623,0.3234750462107209,0.3149817695744399,-0.026964343516629352,2
TSs338,1624,0.3251231527093596,0.31471954231514754,-0.03305676640757915,2
TSs209,1616,0.3261138613861386,0.31494127479930334,-0.035475142449826746,2
TSs5A,1624,0.33189655172413796,0.3148450739786637,-0.05415831199134402,2
TSs371,1621,0.3325107958050586,0.31508430971351975,-0.05530737505584882,2
TSs317,1625,0.35015384615384615,0.31475994610995967,-0.11244728079703581,2
TSs311,1621,0.351634793337446,0.3148295492641078,-0.11690530370915919,2
TSs3,1623,0.3561306223043746,0.3145698125393827,-0.13211951086307328,2
TSs22B,1624,0.3706896551724138,0.31485774954388107,-0.17732422247638402,2
TSs368,1625,0.3716923076923077,0.31475994610995967,-0.18087549666328595,2
TSs9,1623,0.3764633394947628,0.31477431532151057,-0.19597858265609447,2
TSs383,1622,0.3840937114673243,0.31478237920099217,-0.2201880945250625,2
TSs27,1619,0.3915997529339098,0.31502827280106244,-0.24306224788021358,2
TSs224,1620,0.3925925925925926,0.314970544828189,-0.2464422436921685,2
TSs4,1624,0.39408866995073893,0.31467936714196615,-0.2523498872201164,2
TSs158,1621,0.39481801357186924,0.31490458873315114,-0.2537702774043613,2
TSs132,1622,0.39827373612823674,0.314834812165782,-0.2650244532631876,2
TSs59B,1625,0.40307692307692305,0.31475994610995967,-0.28058518263982135,2
TSs61,1623,0.4060382008626001,0.3150150344100966,-0.28894864215911253,2
TSs60B,1625,0.40615384615384614,0.31475994610995967,-0.2903606420492857,2
TSs314B,1623,0.4066543438077634,0.3147865984259016,-0.2918413485238849,2
TSs314A,1624,0.40948275862068967,0.3148087285951981,-0.3007350858661537,2
TSs53,1624,0.41810344827586204,0.314900329783978,-0.32773264658910173,2
TSs98,1618,0.42398022249690975,0.3151205260835885,-0.3454541592902942,2
TSs294,1618,0.4252163164400494,0.3152746351009736,-0.3487171789251762,2
TSs119A,1622,0.4254007398273736,0.3148392707577101,-0.35116797470525185,2
TSs56A,1623,0.4343807763401109,0.3149713448401712,-0.37911204767066264,2
TSs378,1619,0.43730697961704756,0.3148598675687109,-0.38889399590316276,2
TSs96,1613,0.444513329200248,0.31565390881872507,-0.40823007978502424,2
TSs266,1622,0.4469790382244143,0.31485077839488845,-0.4196535911491681,2
TSs120,1621,0.4472547809993831,0.31495832435262705,-0.4200443246536867,2
TSs7,1625,0.45292307692307693,0.31475994610995967,-0.438947625073143,2
TSs51,1625,0.46153846153846156,0.31475994610995967,-0.4663189114196431,2
TSs58,1613,0.4736515809051457,0.31513323070026933,-0.5030201031247223,2
TSs23,1618,0.4746600741656366,0.3154737307989167,-0.5045946074926455,2
TSs30,1623,0.47751078250154033,0.3150122530864819,-0.5158482815284233,2
TSs33,1622,0.47718865598027127,0.31478126790500727,-0.5159372702071785,2
TSs417,1625,0.4806153846153846,0.31475994610995967,-0.5269267597583216,2
TSs11,1622,0.48951911220715166,0.3149853583013255,-0.5541011647241754,2
TSs287,1622,0.4963008631319359,0.31495773529087534,-0.5757697224790601,2
TSs161,1622,0.5006165228113441,0.314889650674022,-0.5898157393860777,2
TSs15,1624,0.5055418719211823,0.31484407364406714,-0.6056896547867057,2
TSs201,1623,0.5163277880468269,0.3147933471673069,-0.6402118808832644,2
TSs104,1623,0.5194085027726433,0.31496050697293454,-0.6491226400561945,2
TSs334,1620,0.5320987654320988,0.31500908905190433,-0.6891536908778666,2
TSs63A,1625,0.5372307692307692,0.31475994610995967,-0.7067952128924642,2
TSs333,1625,0.5403076923076923,0.31475994610995967,-0.7165706723019285,2
TSs82,1625,0.563076923076923,0.31475994610995967,-0.7889090719319642,2
TSs325,1622,0.5665844636251541,0.3149426803355895,-0.7990081973692036,2
