sample,cluster,LD1
TSs156A,1,-9.574173274383462
TSs361,1,-10.983191214823286
TSs368,2,0.9377428747588137
TSs49,2,2.958479404618061
TSs138B,1,-6.213874341789369
TSs22B,2,1.46999575314372
TSs287,2,1.8809145029819874
TSs383,2,1.5465484477559062
TSs314A,2,0.9628679083294887
TSs30,2,1.664422698680542
TSs291,2,1.370326072895276
TSs157A,2,1.7413446386714848
TSs27,2,-0.3780742833703573
TSs363,1,-9.650754584466972
TSs9,2,0.3787826150084538
TSs151B,1,-10.845466688190143
TSs133,1,-8.590042553100433
TSs155,1,-10.427327330058723
TSs209,2,0.8162767973202347
TSs136,2,0.18679365212261903
TSs22A,2,2.1357019721617703
TSs357,1,-6.643485687506587
TSs161,2,2.208246988996064
TSs11,2,2.6587661356528334
TSs5A,2,-0.09060259399323978
TSs131,2,0.06513975857301216
TSs294,2,2.0662450319238075
TSs378,2,0.43754328533916914
TSs336,2,0.574358990678501
TSs111,1,-7.523738525050756
TSs56,2,0.36553782202704266
TSs3A,2,1.643834092863576
TSs95,2,1.771820773660797
TSs2,2,1.5332265320485186
TSs44C,2,0.24386356270968731
TSs201,2,2.4117349386984603
TSs217,2,2.225777971835872
TSs168,2,1.1983814178567558
TSs98,2,1.8575584461038053
TSs116,2,1.1914622723504902
TSs53,2,1.4979781049167171
TSs63A,2,1.9856437319467533
TSs158,2,0.31862618144020816
TSs269,2,0.5123110992308778
TSs317,2,2.3724697562838735
TSs49A,2,-0.0772934462442354
TSs417,2,0.7840525937003611
TSs195,2,0.40814052999275063
TSs371,2,1.3444109540417228
TSs23,2,-0.6054249450403446
TSs51,2,2.2238245796395195
TSs59B,2,1.362745546983784
TSs365,1,-7.425976139736159
TSs224,2,-1.019484584662021
TSs325,2,1.4878221649519228
TSs119A,2,1.5918736369261874
TSs166,2,-0.43381368314641405
TSs297,2,0.23539436938167252
TSs338,2,1.8074400887240472
TSs293,2,1.3594167962333448
TSs24,2,1.5973474771047982
TSs334,2,0.703286765914279
TSs1A,2,0.8608033104842043
TSs266,2,1.830563668041581
TSs277,2,-0.02491886113083192
TSs60B,2,1.185017666973871
TSs303,2,0.4249404447028088
TSs120,2,0.90976624801303
TSs132,2,2.6782311459310124
TSs78,2,0.5897056050756615
TSs61,2,0.17261067509806827
TSs60,2,1.2733103272950874
TSs274,2,0.9207594922893334
TSs10A,2,2.2263487243356965
TSs96,2,2.376492361499486
TSs282,2,1.2070553247810687
TSs56A,2,0.7558112899499729
TSs296,2,1.4768520570723893
TSs33,2,-0.006328485198055539
TSs311,2,1.420700402426693
TSs68,2,1.7226318002667906
TSs104,2,1.13987316557892
TSs58,2,1.1371154101916081
TSs358,1,-10.94086033817571
TSs82,2,1.7526336832971943
TSs15,2,1.2152092206425216
TSs3,2,2.6710200587135082
TSs4,2,1.114644630144087
TSs331,2,2.8625025312798007
TSs314B,2,1.2139483310799326
TSs333,2,0.9613027272985836
TSs7,2,0.5512494190169489
TSs38,2,1.064934764632127
TSs10,2,-0.12063764361903095
TSs48,2,1.7629549803945712
