sample,n_roh_total,sum_roh_bp,n_roh_ge_0.5Mb,sum_roh_ge_0.5Mb,F_ROH_ge_0.5Mb,n_roh_ge_1.0Mb,sum_roh_ge_1.0Mb,F_ROH_ge_1.0Mb,n_roh_ge_2.0Mb,sum_roh_ge_2.0Mb,F_ROH_ge_2.0Mb,n_roh_ge_5.0Mb,sum_roh_ge_5.0Mb,F_ROH_ge_5.0Mb,cluster
TSs156A,11,630569727,11,630569727,0.9991844925726343,11,630569727,0.9991844925726343,11,630569727,0.9991844925726343,11,630569727,0.9991844925726343,1
TSs361,11,624632884,11,624632884,0.9897771245902535,11,624632884,0.9897771245902535,11,624632884,0.9897771245902535,11,624632884,0.9897771245902535,1
TSs358,11,624632884,11,624632884,0.9897771245902535,11,624632884,0.9897771245902535,11,624632884,0.9897771245902535,11,624632884,0.9897771245902535,1
TSs133,13,623517854,13,623517854,0.988010276869774,13,623517854,0.988010276869774,13,623517854,0.988010276869774,13,623517854,0.988010276869774,1
TSs151B,12,623125555,12,623125555,0.9873886500131905,12,623125555,0.9873886500131905,12,623125555,0.9873886500131905,12,623125555,0.9873886500131905,1
TSs282,11,615523730,11,615523730,0.9753429945844279,11,615523730,0.9753429945844279,11,615523730,0.9753429945844279,11,615523730,0.9753429945844279,2
TSs365,11,603986948,11,603986948,0.9570621079909122,11,603986948,0.9570621079909122,11,603986948,0.9570621079909122,11,603986948,0.9570621079909122,1
TSs363,11,591252438,11,591252438,0.9368833325634152,11,591252438,0.9368833325634152,11,591252438,0.9368833325634152,11,591252438,0.9368833325634152,1
TSs297,13,563555990,13,563555990,0.8929962568666392,13,563555990,0.8929962568666392,13,563555990,0.8929962568666392,12,558808816,0.8854740076351216,2
TSs38,14,502706496,14,502706496,0.7965757213059595,14,502706496,0.7965757213059595,14,502706496,0.7965757213059595,14,502706496,0.7965757213059595,2
TSs166,14,492495010,14,492495010,0.7803948645022796,14,492495010,0.7803948645022796,14,492495010,0.7803948645022796,13,488758992,0.7744748669354249,2
TSs116,16,461170138,16,461170138,0.7307582819103235,16,461170138,0.7307582819103235,16,461170138,0.7307582819103235,14,454855603,0.7207524329460469,2
TSs157A,15,447802536,15,447802536,0.7095763252616452,15,447802536,0.7095763252616452,14,446565642,0.7076163749962939,12,439680114,0.6967057452813112,2
TSs155,14,442617256,14,442617256,0.7013598645852083,14,442617256,0.7013598645852083,14,442617256,0.7013598645852083,12,435492648,0.6900703948811562,1
TSs168,16,438319359,16,438319359,0.6945495280764998,16,438319359,0.6945495280764998,15,437070864,0.6925711951663719,14,434801156,0.6889746745293004,2
TSs138B,18,428614071,18,428614071,0.6791707795411276,18,428614071,0.6791707795411276,18,428614071,0.6791707795411276,15,419660045,0.6649824613548786,1
TSs277,14,422226590,14,422226590,0.6690493422305123,14,422226590,0.6690493422305123,14,422226590,0.6690493422305123,12,416157822,0.6594329293026823,2
TSs24,15,416361542,15,416361542,0.6597557387496173,15,416361542,0.6597557387496173,15,416361542,0.6597557387496173,12,406030797,0.6433859072167403,2
TSs78,17,382459833,17,382459833,0.6060359668448204,17,382459833,0.6060359668448204,16,380619648,0.6031200572526925,14,373368172,0.5916295557946949,2
TSs217,16,336983024,16,336983024,0.5339745906340218,16,336983024,0.5339745906340218,15,335249375,0.531227495234112,13,329336814,0.5218586038813723,2
TSs303,15,265624770,15,265624770,0.4209021455721941,15,265624770,0.4209021455721941,15,265624770,0.4209021455721941,12,253735600,0.40206287406121055,2
TSs48,11,243736239,11,243736239,0.3862181450502417,11,243736239,0.3862181450502417,11,243736239,0.3862181450502417,9,235799858,0.3736423608303499,2
TSs2,17,237188378,17,237188378,0.37584257373658564,17,237188378,0.37584257373658564,16,236053578,0.37404439898505426,12,220355956,0.3491703528628448,2
TSs10,11,229758435,11,229758435,0.3640692780827989,11,229758435,0.3640692780827989,11,229758435,0.3640692780827989,7,217530520,0.34469323999954926,2
TSs95,11,210725194,11,210725194,0.3339096963009769,11,210725194,0.3339096963009769,11,210725194,0.3339096963009769,6,189820617,0.30078484385751264,2
TSs56,12,204859007,12,204859007,0.32461428799011904,12,204859007,0.32461428799011904,12,204859007,0.32461428799011904,7,184401249,0.2921974533861899,2
TSs111,13,190409668,13,190409668,0.30171823884831656,13,190409668,0.30171823884831656,13,190409668,0.30171823884831656,9,179243093,0.2840239726991437,1
TSs269,14,187291439,14,187291439,0.29677717376434326,14,187291439,0.29677717376434326,13,185982446,0.2947029772869628,11,178941039,0.2835453457372129,2
TSs195,13,184870430,13,184870430,0.2929409054729878,12,184294611,0.2920284775674079,11,182300928,0.28886933901157663,10,179305495,0.28412285329558806,2
TSs27,5,171611070,5,171611070,0.27193046630003664,5,171611070,0.27193046630003664,5,171611070,0.27193046630003664,4,167764889,0.26583590729050227,2
TSs296,7,158942736,7,158942736,0.2518565516518464,7,158942736,0.2518565516518464,7,158942736,0.2518565516518464,5,152332847,0.24138269237248006,2
TSs22A,11,145936237,11,145936237,0.2312467894844002,11,145936237,0.2312467894844002,9,142788594,0.22625911573622037,5,125897369,0.19949371714842043,2
TSs136,10,144194997,10,144194997,0.2284876655820769,10,144194997,0.2284876655820769,10,144194997,0.2284876655820769,9,139578669,0.22117275154049487,2
TSs331,13,142116214,13,142116214,0.22519367976562235,13,142116214,0.22519367976562235,13,142116214,0.22519367976562235,10,128397693,0.20345566593891032,2
TSs10A,12,128613992,12,128613992,0.20379840774414604,12,128613992,0.20379840774414604,12,128613992,0.20379840774414604,9,117657052,0.1864363237980374,2
TSs291,10,115081278,10,115081278,0.1823548188875237,10,115081278,0.1823548188875237,7,110463116,0.1750369987369407,4,102110107,0.16180103655583897,2
TSs293,7,112617185,7,112617185,0.1784502808032576,7,112617185,0.1784502808032576,6,110656893,0.17534405276304882,3,100407581,0.15910325785736726,2
TSs49,10,111324102,10,111324102,0.17640129490068937,10,111324102,0.17640129490068937,9,109855315,0.1740738929807233,6,100302805,0.15893723251566258,2
TSs224,5,104876750,5,104876750,0.16618498755081693,5,104876750,0.16618498755081693,4,103337871,0.16374651965915157,3,99728921,0.15802787076107339,2
TSs44C,9,103085113,9,103085113,0.16334600586478468,9,103085113,0.16334600586478468,8,101142345,0.16026754590207487,7,96904670,0.153552635618152,2
TSs60,9,103912640,9,103912640,0.16465728376186828,8,103018348,0.16324021177130035,8,103018348,0.16324021177130035,6,96278578,0.15256054641605843,2
TSs68,9,92838469,9,92838469,0.14710943860294967,9,92838469,0.14710943860294967,8,91048226,0.14427266581329004,7,86711771,0.13740123129429818,2
TSs336,9,89390344,9,89390344,0.14164562884341136,9,89390344,0.14164562884341136,8,87779218,0.13909268022274188,6,80303087,0.12724619625786618,2
TSs5A,9,84385362,9,84385362,0.13371486371804217,9,84385362,0.13371486371804217,9,84385362,0.13371486371804217,6,74332664,0.11778561827534756,2
TSs3A,12,80311551,12,80311551,0.12725960809351738,11,79371863,0.12577060277459157,9,76477453,0.12118419549350248,4,59838652,0.09481878145230155,2
TSs22B,7,75862150,7,75862150,0.12020920226197136,7,75862150,0.12020920226197136,6,74551318,0.1181320917527192,4,65953044,0.10450748899139686,2
TSs311,7,74168433,7,74168433,0.11752538207723445,7,74168433,0.11752538207723445,7,74168433,0.11752538207723445,5,68057903,0.10784279416352724,2
TSs274,5,73492001,5,73492001,0.1164535254121588,5,73492001,0.1164535254121588,5,73492001,0.1164535254121588,3,64466847,0.10215249963538553,2
TSs338,7,67987422,7,67987422,0.10773111179248152,7,67987422,0.10773111179248152,7,67987422,0.10773111179248152,3,53310136,0.0844738637256814,2
TSs9,8,67509764,8,67509764,0.10697422727056843,8,67509764,0.10697422727056843,7,66274997,0.10501764739444566,3,52437034,0.08309036886146609,2
TSs1A,8,63365964,8,63365964,0.10040806888548237,8,63365964,0.10040806888548237,8,63365964,0.10040806888548237,5,52933334,0.08387679301478386,2
TSs158,7,61402294,7,61402294,0.0972964881537767,7,61402294,0.0972964881537767,7,61402294,0.0972964881537767,4,50640092,0.08024298100953951,2
TSs132,6,58778643,6,58778643,0.09313911858642561,6,58778643,0.09313911858642561,6,58778643,0.09313911858642561,4,52545674,0.08326251699770716,2
TSs49A,13,56753938,13,56753938,0.089930823371146,13,56753938,0.089930823371146,13,56753938,0.089930823371146,5,31188321,0.04942020740646408,2
TSs59B,6,49146191,6,49146191,0.0778757840942351,6,49146191,0.0778757840942351,3,45451060,0.07202057501087164,3,45451060,0.07202057501087164,2
TSs4,5,46795140,5,46795140,0.07415036944164206,5,46795140,0.07415036944164206,4,44996371,0.07130008657273361,3,40371228,0.06397120450997186,2
TSs209,8,43734891,8,43734891,0.06930117796719802,8,43734891,0.06930117796719802,7,42425898,0.06722698148981761,5,33568664,0.053192037405216656,2
TSs334,2,42902604,2,42902604,0.06798235749713476,2,42902604,0.06798235749713476,2,42902604,0.06798235749713476,1,40882396,0.06478118811183191,2
TSs357,7,42561035,7,42561035,0.06744111608745393,7,42561035,0.06744111608745393,7,42561035,0.06744111608745393,4,32376829,0.051303486466732884,1
TSs371,7,42401828,7,42401828,0.06718884078989748,7,42401828,0.06718884078989748,7,42401828,0.06718884078989748,4,31854236,0.050475399105147555,2
TSs3,4,39708432,4,39708432,0.06292095509807903,4,39708432,0.06292095509807903,4,39708432,0.06292095509807903,3,37392245,0.05925078503883936,2
TSs60B,4,38879931,4,38879931,0.06160813382576806,4,38879931,0.06160813382576806,4,38879931,0.06160813382576806,1,29948855,0.047456181616385144,2
