PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,sample,silicoDArT_cluster,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,best_k
24.3563625975971,-1.2785480402594263,-0.7649049729838208,-2.0092549528405255,-0.1535826246654411,-0.4351900490168485,-1.087146837578956,-3.9257533607548485,-1.1467453993684895,1.7224596210567178,TSs156A,1,1,2,1,3,1,1,2
32.72415415081552,-0.47873543237203003,3.54952562034096,0.3864628020328819,-1.2592243708344488,8.864460790676002,1.5512839516479597,4.168124689920708,-2.856867301760401,-5.527908618247726,TSs361,1,1,2,1,3,1,1,2
-7.506226956927817,-8.270507302416522,-1.0788449952009171,0.2860034607881251,-10.233020691546463,1.5794951460028772,-2.014686000162645,3.4990783905098755,6.580498564211753,0.8872316474517322,TSs368,0,0,1,0,4,4,5,2
18.003057673602083,0.42572408116096944,5.89867974665144,1.2366735396810904,-0.03763440547687757,-2.5670153394720576,-1.8002601303410546,1.0562879663151403,3.923751630823968,3.170625747260293,TSs138B,1,1,2,1,3,1,1,2
-6.2649477077143505,-12.347449946009611,8.523039991865554,-0.38815120654198065,7.654043985886874,2.2230486882097034,-6.55501747185623,-0.17077906096573162,3.658975064771683,-1.2843203364913627,TSs22B,0,0,1,0,4,4,4,2
-9.367788478800227,0.6440304200107707,2.9631361629321438,5.013162548813821,5.192577762169003,11.59788544042151,-3.8745336083788584,4.7146977644269645,-5.463946444220005,4.6174591188195215,TSs314A,0,0,0,3,1,3,0,2
2.1841642630281695,-3.8898977931783016,-14.853021207391754,-0.16668512564839194,-10.1202550790169,1.892915504120789,-0.2830543970492921,-8.031206265574903,0.9907181682572606,-1.226253210707791,TSs157A,0,0,0,2,2,0,6,2
20.956745465423698,-3.640044087073453,1.6834318260873506,-3.221399348342795,-1.0119955424541753,-1.5902935916115768,0.6299361690482654,-0.07203386842337527,3.37759630906524,2.2213013727062365,TSs363,1,1,2,1,3,1,1,2
32.44655623239676,-0.49472867758924355,3.4793252910608867,0.6331101727799364,-1.2043342040955707,8.78050076549928,1.690058430618815,4.0504628636950555,-3.029480034139778,-5.514345362311995,TSs151B,1,1,2,1,3,1,1,2
22.951585158839233,-3.089780128078501,-0.646545661434966,-1.288652014053701,0.19235832949679635,-3.802502106061752,-0.9976680684987859,0.2318547290075185,4.794272399624162,1.9343253025654628,TSs133,1,1,2,1,3,1,1,2
18.205150684299905,2.356119108855123,0.7546323652017992,-8.92456359646555,1.116786780290381,0.5913709429233038,-2.306845066362498,1.4979675624814741,8.598808234319021,1.3054677836396442,TSs155,1,1,2,1,3,1,1,2
-4.269662312771579,12.341593025048917,1.4684306571547352,4.148250052267703,3.868646305915259,-3.393044289250535,-11.374695019360693,-11.017202624887782,-9.696858876828603,-5.910826521707887,TSs209,0,0,0,3,0,2,2,2
-4.067507867802716,-8.031763609536792,-1.7486111875338233,-2.1044508381295906,-2.9422104070499913,-2.511509495501417,0.03297734782624323,-3.1655535262710175,2.664027348625383,-2.227811522986807,TSs136,0,0,1,0,4,4,5,2
-3.446472325562615,-9.683910046275734,-1.469996039096585,3.1794487182479805,14.523552606468684,0.10143878285701163,0.18789255356428558,0.7543028107943417,3.1527703339443414,-4.082529178751811,TSs22A,0,0,1,0,4,4,4,2
17.16711731798707,3.002232924243108,8.462184308886174,2.0639524503633218,-3.7510171553072937,3.3961447255161135,1.0117992366952777,4.27214347757091,-0.8271718452810312,-3.847973594213872,TSs357,1,1,2,1,3,1,1,2
-10.288836419739216,11.029799732931258,3.9419715102983184,-6.261350305521588,3.0890812974419513,2.9186259687536116,-8.432008146049666,7.910957369787512,-3.603163745990116,2.263543635467894,TSs161,0,0,0,3,1,3,0,2
3.222295285607228,2.162338165564469,6.920384580870194,5.80759751661786,-1.0983507768168999,-8.317842841651832,-2.93665455344942,4.680760946538088,4.752901741847459,3.2723075962591524,TSs5A,0,0,0,2,0,2,2,2
-4.674944712665256,1.0357198264465362,-6.553950350360365,2.1216614335916537,-2.7207305334357126,7.690248534613345,-1.0680045914744298,0.18394853066903552,4.682085222308218,-3.497745628451802,TSs131,0,0,0,2,1,0,6,2
-2.6732755501457834,6.300119173860901,7.503363027025109,5.093213405504765,-3.1080292743653932,-2.121179506299923,-8.47792914241049,-8.166816101100434,-2.759538791899957,-2.293824018980341,TSs294,0,0,0,3,0,2,2,2
-7.5617914470594245,1.806215390354173,8.137543105145928,2.8379665164461034,3.7713807890197155,1.4643170907670326,-0.5465676404909918,3.2991401083942984,3.7055190155793585,-5.23597441227929,TSs378,0,0,0,3,1,3,2,2
-3.955403916612502,-0.5135184178528653,-4.439180732988255,7.723954371412976,-1.8296102803762155,8.192739625470104,12.114278278179698,6.3671108239881296,5.484622992875878,-0.39131514487550995,TSs336,0,0,0,2,1,0,6,2
9.911770778158443,6.909069358231394,6.270173440735572,-2.1814545133584105,-0.8461987487464516,-1.3796119092958825,-1.2982952966272214,-5.998776069275039,-0.9049329793470408,-2.9030503210806904,TSs111,1,1,2,1,0,2,2,2
-4.07097895795384,-4.241257040508796,-3.98281060722228,-6.689088290833612,-9.507171364024552,-4.547612569045775,-6.521467510037877,-2.3358992321508114,6.073649084324424,-1.3096037059877317,TSs56,0,0,1,0,4,4,5,2
-4.640225226458669,-5.630866609372134,-2.6473672065667078,6.11042682670371,0.9319017238541478,-4.770844520716205,1.636778353938283,12.99606155321269,-5.708723849701969,0.9116793667805602,TSs3A,0,0,0,2,2,4,5,2
-3.460447496139516,7.849405879197993,-6.470288290100804,6.830281087736364,-2.8823520211832427,1.7458816290996153,3.2528748627461033,-5.6910241117059,1.7342250513135034,-7.387026238685726,TSs95,0,0,0,2,1,0,6,2
-3.1787042194218453,-16.574948663755563,0.2137291639720326,-4.002678545467521,12.96950670150697,-2.348027297075974,6.14138224708258,1.2301341377131048,-0.6744192868185942,-4.799615282362363,TSs2,0,0,1,0,4,4,4,2
1.1034910075190305,-1.4584087968271784,1.2224474276698791,-5.630938876206061,0.406840077120017,-0.4015142613878604,-1.345570522979717,-8.581761159350823,-1.1747518021228154,3.1898344355834896,TSs44C,0,0,0,0,0,2,3,2
