sample,call_rate,pct_present
TSs156A,0.982,0.6193482688391039
TSs361,0.9508,0.6066470340765671
TSs368,0.9024,0.6759751773049646
TSs49,0.8798,0.6358263241645828
TSs138B,0.982,0.6551934826883911
TSs22B,0.9652,0.6978864484044758
TSs287,0.8782,0.6907310407652015
TSs383,0.8944,0.6762075134168157
TSs314A,0.9274,0.6937675221048092
TSs30,0.8818,0.6845089589476072
TSs63,0.9458,0.6204271516176781
TSs291,0.8846,0.6448112141080714
TSs157A,0.9888,0.306836569579288
TSs27,0.8858,0.6780311582750056
TSs363,0.9412,0.6166595835104123
TSs9,0.8876,0.6748535376295629
TSs151B,0.986,0.6192697768762677
TSs133,0.9878,0.6209759060538571
TSs155,0.9388,0.6250532594801875
TSs209,0.9132,0.6657906263688129
TSs136,0.9228,0.6636324230602514
TSs22,0.9146,0.6735184780231795
TSs346,0.9354,0.6249732734658969
TSs349,0.937,0.6266808964781216
TSs22A,0.9836,0.6677511183407889
TSs357,0.9072,0.6518959435626103
TSs161,0.9,0.7046666666666667
TSs11,0.8976,0.6949643493761141
TSs5A,0.971,0.686508753861998
TSs131,0.9396,0.654320987654321
TSs294,0.9212,0.691923577941815
TSs378,0.913,0.6955093099671413
TSs336,0.914,0.6531728665207878
TSs111,0.9138,0.6502516962136135
TSs56,0.9398,0.6622685677803788
TSs84,0.9128,0.6719982471516214
TSs3A,0.9772,0.6747851002865329
TSs89,0.8422,0.6119686535264782
TSs95,0.9062,0.6504082983888766
TSs2,0.911,0.6434687156970362
TSs44C,0.977,0.6831115660184237
TSs201,0.9486,0.6987138941598144
TSs217,0.9494,0.6361912787023383
TSs377,0.9602,0.613830451989169
TSs168,0.9504,0.632996632996633
TSs98,0.9072,0.6818783068783069
TSs116,0.9278,0.6020694115111015
TSs53,0.92,0.6847826086956522
TSs63A,0.9484,0.7144664698439477
TSs158,0.9076,0.6862053768179814
TSs269,0.922,0.6464208242950108
TSs317,0.9138,0.6690741956664478
TSs49A,0.963,0.6458982346832814
TSs417,0.9688,0.7076796036333609
TSs195,0.9042,0.6531740765317408
TSs371,0.9134,0.6636741843661047
TSs69,0.9642,0.6285003111387679
TSs23,0.9142,0.7048785823670969
TSs182,0.9434,0.6334534661861353
TSs51,0.906,0.6962472406181015
TSs59B,0.9744,0.7046387520525451
TSs365,0.9316,0.5978960927436668
TSs224,0.9096,0.6851363236587511
TSs325,0.864,0.6993055555555555
TSs119A,0.9242,0.6686864315083315
TSs166,0.9772,0.6244371674171101
TSs297,0.9516,0.6158049600672552
TSs138,0.9476,0.5985647952722668
TSs338,0.9438,0.680864589955499
TSs293,0.9176,0.6652136006974717
TSs24,0.9064,0.6107678729037952
TSs334,0.8912,0.7093806104129264
TSs1A,0.9712,0.6859555189456342
TSs266,0.8686,0.830992401565738
TSs277,0.928,0.6362068965517241
TSs60B,0.9576,0.6992481203007519
TSs303,0.9846,0.6524476944952264
TSs120,0.9278,0.6995042034921319
TSs132,0.9048,0.6885499557913352
TSs78,0.91,0.6294505494505495
TSs61,0.9002,0.6845145523217063
TSs60,0.9254,0.662416252431381
TSs274,0.8466,0.6553271911174108
TSs10A,0.9588,0.6631205673758865
TSs96,0.7924,0.6357900050479556
TSs282,0.9128,0.5988168273444348
TSs56A,0.9644,0.6986727498963086
TSs296,0.96,0.6695833333333333
TSs33,0.8882,0.6953388876379194
TSs311,0.9096,0.6701846965699209
TSs68,0.8864,0.6550090252707581
TSs104,0.8772,0.7033743730050159
TSs58,0.8424,0.6737891737891738
TSs358,0.9402,0.6026377366517762
TSs82,0.952,0.7247899159663865
TSs15,0.9298,0.700580770058077
TSs3,0.9616,0.6799084858569051
TSs4,0.928,0.6793103448275862
TSs331,0.9638,0.6750363145880888
TSs314B,0.9452,0.673508252221752
TSs333,0.95,0.716421052631579
TSs7,0.9618,0.7130380536494073
TSs38,0.9482,0.5777262180974478
TSs10,0.9462,0.6531388712745719
TSs48,0.9294,0.6169571766731224
