chr,n_markers,n_pairs,r2_median,r2_p95,span_mb
Ss01,128,8128,0.012724973932349963,0.11778173946025326,44.499888
Ss02,120,7140,0.010499213404711976,0.12633567568789505,29.302939
Ss03,224,24976,0.01166643462801149,0.11498917761071926,100.233772
Ss04,210,21945,0.012148880537409305,0.12187659088953556,75.955437
Ss05,107,5671,0.01244942421413019,0.1691567309957399,56.271029
Ss06,113,6328,0.010069006114007467,0.0977708745815371,104.209981
Ss07,77,2926,0.012741751183871466,0.14438207747662882,64.863116
Ss08,163,13203,0.011654393301748351,0.13452756915976485,34.798525
Ss09,122,7381,0.012109709153122343,0.1270868064300304,63.17884
Ss10,134,8911,0.01306560308073168,0.16228530082149367,18.824616
Ss11,75,2775,0.009033074311071313,0.10702880091786712,38.946238
