sample,is_small_cluster,F_ROH_obs,F_ROH_zerohet
TSs156A,True,0.9991844925726343,0.8839835999680683
TSs361,True,0.9897771245902535,0.9152791661310344
TSs368,False,0.037244125678971604,0.008880232451831192
TSs49,False,0.17640129490068937,0.07916011789238055
TSs138B,True,0.6791707795411276,0.44940847775473625
TSs22B,False,0.12020920226197136,0.012613871044290669
TSs287,False,0.004580217934438152,0.0
TSs383,False,0.016402828705088805,0.0
TSs314A,False,0.008988268717745369,0.0
TSs30,False,0.005428871483986228,0.0
TSs291,False,0.1823548188875237,0.042512688964805805
TSs157A,False,0.7095763252616452,0.5637354523594207
TSs27,False,0.27193046630003664,0.02207043846962202
TSs363,True,0.9368833325634152,0.8535045078227027
TSs9,False,0.10697422727056843,0.02187270738364225
TSs151B,True,0.9873886500131905,0.8685749394263649
TSs133,True,0.988010276869774,0.7910178781623182
TSs155,True,0.7013598645852083,0.5730827126903653
TSs209,False,0.06930117796719802,0.022998246251954062
TSs136,False,0.2284876655820769,0.17947883264124073
TSs22A,False,0.2312467894844002,0.11825503410771308
TSs357,True,0.06744111608745393,0.049118033868754546
TSs161,False,0.011287683888979024,0.00570232778427771
TSs11,False,0.01853460068440515,0.0
TSs5A,False,0.13371486371804217,0.052998316876424166
TSs131,False,0.04857174083666634,0.00893248536917918
TSs294,False,0.0,0.0
TSs378,False,0.004373342271007654,0.0018215266208592793
TSs336,False,0.14164562884341136,0.027851372224025932
TSs111,True,0.30171823884831656,0.11232662720581577
TSs56,False,0.32461428799011904,0.1886150070952239
TSs3A,False,0.12725960809351738,0.023332165148292585
TSs95,False,0.3339096963009769,0.09779249155589544
TSs2,False,0.37584257373658564,0.08162433036034844
TSs44C,False,0.16334600586478468,0.10920869391632115
TSs201,False,0.009980479932048897,0.0024997940806270724
TSs217,False,0.5339745906340218,0.43186367180904767
TSs168,False,0.6945495280764998,0.5973773450114906
TSs98,False,0.001959950265351283,0.0
TSs116,False,0.7307582819103235,0.6339862592796446
TSs53,False,0.007531192568050579,0.0020091402008569122
TSs63A,False,0.0,0.0
TSs158,False,0.0972964881537767,0.011456860948678748
TSs269,False,0.29677717376434326,0.1518226831223066
TSs317,False,0.036873343249482195,0.017300499471559573
TSs49A,False,0.089930823371146,0.020664290533281317
TSs417,False,0.011635046312451837,0.007818263529485132
TSs195,False,0.2929409054729878,0.04698743130516488
TSs371,False,0.06718884078989748,0.0438132630634698
TSs23,False,0.0,0.0
TSs51,False,0.003430294054449115,0.0
TSs59B,False,0.0778757840942351,0.010821343715049097
TSs365,True,0.9570621079909122,0.897046292134427
TSs224,False,0.16618498755081693,0.005430478242179788
TSs325,False,0.0,0.0
TSs119A,False,0.01504090940257322,0.005714120185142088
TSs166,False,0.7803948645022796,0.6092889549741527
TSs297,False,0.8929962568666392,0.8324216932252044
TSs338,False,0.10773111179248152,0.004677860978467157
TSs293,False,0.1784502808032576,0.14982978956026485
TSs24,False,0.6597557387496173,0.39304463629246433
TSs334,False,0.06798235749713476,0.0
TSs1A,False,0.10040806888548237,0.057944474781732876
TSs266,False,0.037658098846214356,0.013706854836580086
TSs277,False,0.6690493422305123,0.285737954272077
TSs60B,False,0.06160813382576806,0.0
TSs303,False,0.4209021455721941,0.3072299883143519
TSs120,False,0.005125046820006784,0.0
TSs132,False,0.09313911858642561,0.04792603162206925
TSs78,False,0.6060359668448204,0.28357632891567314
TSs61,False,0.03356617694520315,0.016812506091796305
TSs60,False,0.16465728376186828,0.10086389540989131
TSs274,False,0.1164535254121588,0.04721396044184462
TSs10A,False,0.20379840774414604,0.12258439969218633
TSs96,False,0.02671574595664094,0.021542865596605534
TSs282,False,0.9753429945844279,0.8278917379829751
TSs56A,False,0.02248689466456626,0.012317785440486128
TSs296,False,0.2518565516518464,0.1014907703760775
TSs33,False,0.010678527630998365,0.0032364071453703114
TSs311,False,0.11752538207723445,0.06130147435862464
TSs68,False,0.14710943860294967,0.06025569819957246
TSs104,False,0.017209426071978798,0.0
TSs58,False,0.025159106259040817,0.0
TSs358,True,0.9897771245902535,0.9268847266876028
TSs82,False,0.0,0.0
TSs15,False,0.0,0.0
TSs3,False,0.06292095509807903,0.010215602214373294
TSs4,False,0.07415036944164206,0.005428871483986228
TSs331,False,0.22519367976562235,0.035218767361634325
TSs314B,False,0.020982324073712103,0.0032845164013019677
TSs333,False,0.0026919284506900197,0.0
TSs7,False,0.007022357284421526,0.004575126697676899
TSs38,False,0.7965757213059595,0.5263283104450656
TSs10,False,0.3640692780827989,0.30882589059037413
TSs48,False,0.3862181450502417,0.2811557112518682
