metric,value
anchored_markers,1473.0
samples,95.0
mean_spacing_kb,431.7
median_spacing_kb,85.2
anchored_span_Mb,631.1
n_segments,719.0
min_seg_Mb,0.58
median_seg_Mb,8.75
seg_lt_1Mb,3.0
seg_lt_2Mb,45.0
froh_panel_obs,0.256
froh_small_obs,0.7816
froh_large_obs,0.1871
froh_ge0.5,0.256
froh_ge1.0,0.2559
froh_ge2.0,0.2549
froh_ge5.0,0.2452
froh_panel_zerohet,0.1738
froh_small_zerohet,0.6655
froh_large_zerohet,0.1095
null_panel_mean,0.0467
null_panel_95pct,0.0555
p_panel,0.0099
null_small_mean,0.0465
p_small,0.0099
