chr,n_pairs,rho_hat,half_decay_bp
Ss01,1689,1178.63811248191,165152.61848618486
Ss02,2578,1672.1009433645984,116402.14073140731
Ss03,4000,1316.5590455325655,147852.44894448944
Ss04,6508,2109.2604845234123,92301.90454904549
Ss05,2074,1315.759400780227,147952.44992449926
Ss06,2369,2738.2247218199605,71101.69678696788
Ss07,1627,3034.3372384252993,64151.62867628677
Ss08,4079,1837.488138793974,105952.0383203832
Ss09,1668,1216.2528696540219,160052.56850568508
Ss10,4946,1445.8844573534996,134602.31909319095
Ss11,969,1882.1630305750473,103402.01333013331
